*EVALUATION : GHWA0401MZ ON-STATION NXP (EXPERIMENT NO.2) 9 TRT                       DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:45

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 GHWA0401MZ     1  1 MZ      57      56     -99     -99     -99     -99     100     -99     572     427     -99     -99     244     -99  0.2349     -99    48.7     -99    1828    2081    1273     -99    0.49     -99   0.313     -99     -99     -99       5     -99      12     -99       7     -99     0.9     -99    1065     -99      11     -99   24.37     -99       5     -99
   2 GHWA0401MZ     2  1 MZ      57      57     -99     -99     -99     -99     100     -99     381     438     -99     -99     156     -99  0.2452     -99    31.1     -99    2523    2264    2173     -99    0.97     -99   0.151     -99     -99     -99       3     -99      14     -99      12     -99     0.7     -99    1964     -99      14     -99   24.37     -99       5     -99
   3 GHWA0401MZ     3  1 MZ      57      57     -99     -99     -99     -99     100     -99     381     417     -99     -99     156     -99  0.2452     -99    31.1     -99    2523    2302    2173     -99    0.97     -99   0.151     -99     -99     -99       3     -99      14     -99      12     -99     0.7     -99    1964     -99      14     -99   24.37     -99       5     -99
   4 GHWA0401MZ     4  1 MZ      57      56     -99     -99     -99     -99     100     -99     941     979     -99     -99     463     -99  0.2034     -99    92.6     -99    2030    4839    1107     -99    0.53     -99   0.464     -99     -99     -99      17     -99      28     -99      11     -99     1.8     -99    1175     -99      27     -99   24.37     -99       5     -99
   5 GHWA0401MZ     5  1 MZ      57      55     -99     -99     -99     -99     100     -99    2233    2500     -99     -99     956     -99  0.2336     -99   191.2     -99    9364    7330    7191     -99    2.92     -99   0.238     -99     -99     -99      25     -99      67     -99      42     -99     1.1     -99    5548     -99      66     -99   24.37     -99       5     -99
   6 GHWA0401MZ     6  1 MZ      57      55     -99     -99     -99     -99     100     -99    2235    2208     -99     -99     957     -99  0.2336     -99   191.3     -99    9461    7866    7288     -99    2.97     -99   0.236     -99     -99     -99      25     -99      68     -99      43     -99     1.1     -99    5653     -99      67     -99   24.37     -99       5     -99
   7 GHWA0401MZ     7  1 MZ      57      56     -99     -99     -99     -99     100     -99     930    1896     -99     -99     460     -99  0.2021     -99    92.0     -99    2003    5050    1092     -99    0.53     -99   0.464     -99     -99     -99      16     -99      28     -99      11     -99     1.8     -99    1159     -99      26     -99   24.37     -99       5     -99
   8 GHWA0401MZ     8  1 MZ      57      54     -99     -99     -99     -99     100     -99    4309    3938     -99     -99    1870     -99  0.2304     -99   374.1     -99   13067   12392    8821     -99    3.62     -99   0.330     -99     -99     -99      69     -99     116     -99      47     -99     1.6     -99    6284     -99     116     -99   24.37     -99       5     -99
   9 GHWA0401MZ     9  1 MZ      57      53     -99     -99     -99     -99     100     -99    4251    4188     -99     -99    1845     -99  0.2304     -99   369.1     -99   13372   13511    9187     -99    3.82     -99   0.318     -99     -99     -99      68     -99     119     -99      51     -99     1.6     -99    6718     -99     118     -99   24.37     -99       5     -99
