*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 174    26     0     0     0.0    5.7    3.2    2.5    0.30    0.32    0.28    0.30    0.27    0.11    0.04    0.11    0.19    0.20    0.20    0.21    5.46    3.08    0.00    0.00    0.00    5.46    0.00
 1997 175    27     0     0     0.1    5.9    3.3    2.6    0.34    0.33    0.29    0.31    0.28    0.12    0.05    0.11    0.20    0.20    0.20    0.21    5.70    3.26    0.00    0.00    0.00    5.70    0.00
 1997 176    28     0     0     0.1    6.2    3.5    2.6    0.41    0.34    0.30    0.32    0.29    0.13    0.04    0.11    0.21    0.21    0.20    0.22    5.94    3.46    0.00    0.00    0.00    5.94    0.00
 1997 177    29     0     0     0.1    6.4    3.8    2.6    0.52    0.37    0.32    0.34    0.30    0.13    0.02    0.11    0.21    0.21    0.21    0.22    6.18    3.68    0.00    0.00    0.00    6.18    0.00
 1997 178    30     0     0     0.1    6.6    3.9    2.7    0.54    0.40    0.33    0.35    0.32    0.14    0.02    0.10    0.21    0.21    0.21    0.23    6.42    3.88    0.00    0.00    0.00    6.42    0.01
 1997 179    31     0     0     0.1    6.9    4.1    2.7    0.17    0.34    0.42    0.43    0.36    0.15    0.02    0.10    0.22    0.21    0.21    0.23    6.66    4.08    0.00    0.00    0.00    6.66    0.01
 1997 180    32     0     0     0.2    7.0    4.2    2.8    0.22    0.32    0.38    0.41    0.36    0.18    0.04    0.11    0.23    0.22    0.21    0.24    6.90    4.23    0.00    0.00    0.00    6.90    0.01
 1997 181    33     0     0     0.2    7.2    4.4    2.8    0.27    0.34    0.39    0.43    0.38    0.19    0.02    0.12    0.24    0.22    0.21    0.24    7.15    4.44    0.00    0.00    0.00    7.15    0.01
 1997 182    34     0     0     0.3    7.4    4.5    2.9    0.32    0.35    0.38    0.42    0.38    0.22    0.04    0.12    0.25    0.23    0.21    0.25    7.40    4.63    0.00    0.00    0.00    7.40    0.01
 1997 183    35     0     0     0.3    7.6    4.7    2.9    0.42    0.37    0.39    0.43    0.39    0.22    0.03    0.12    0.25    0.23    0.21    0.25    7.66    4.85    0.00    0.00    0.00    7.66    0.01
