*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 154     6     0     0     0.0    1.4    0.4    0.9    0.10    0.06    0.03    0.03    0.03    0.01    0.01    0.04    0.06    0.09    0.09    0.07    1.08    0.30    0.00    0.00    0.00    1.08    0.00
 1997 155     7     0     0     0.0    1.6    0.5    1.0    0.11    0.07    0.03    0.04    0.04    0.02    0.01    0.04    0.06    0.10    0.10    0.08    1.28    0.39    0.00    0.00    0.00    1.28    0.00
 1997 156     8     0     0     0.0    1.8    0.6    1.1    0.13    0.08    0.04    0.05    0.05    0.02    0.02    0.04    0.07    0.11    0.11    0.08    1.48    0.48    0.00    0.00    0.00    1.48    0.00
 1997 157     9     0     0     0.0    1.9    0.7    1.2    0.15    0.10    0.04    0.06    0.06    0.02    0.01    0.05    0.07    0.12    0.12    0.09    1.67    0.59    0.00    0.00    0.00    1.67    0.00
 1997 158    10     0     0     0.0    2.1    0.8    1.3    0.18    0.11    0.05    0.07    0.07    0.02    0.02    0.05    0.08    0.12    0.13    0.10    1.87    0.69    0.00    0.00    0.00    1.87    0.00
 1997 159    11     0     0     0.0    2.3    0.9    1.4    0.20    0.12    0.06    0.08    0.08    0.03    0.02    0.05    0.08    0.13    0.14    0.11    2.06    0.80    0.00    0.00    0.00    2.06    0.00
 1997 160    12     0     0     0.0    2.5    1.0    1.5    0.23    0.13    0.06    0.09    0.09    0.03    0.02    0.05    0.09    0.14    0.14    0.12    2.25    0.91    0.00    0.00    0.00    2.25    0.00
 1997 161    13     0     0     0.0    2.7    1.2    1.5    0.25    0.14    0.07    0.10    0.10    0.03    0.01    0.05    0.09    0.15    0.15    0.12    2.44    1.03    0.00    0.00    0.00    2.44    0.00
 1997 162    14     0     0     0.0    2.9    1.3    1.6    0.26    0.16    0.08    0.12    0.11    0.03    0.01    0.05    0.09    0.15    0.16    0.13    2.63    1.16    0.00    0.00    0.00    2.63    0.00
 1997 163    15     0     0     0.0    3.1    1.4    1.7    0.29    0.17    0.09    0.13    0.13    0.04    0.02    0.05    0.09    0.16    0.16    0.14    2.83    1.28    0.00    0.00    0.00    2.83    0.00
 1997 164    16     0     0     0.0    3.3    1.6    1.7    0.10    0.13    0.19    0.14    0.14    0.04    0.02    0.05    0.10    0.16    0.17    0.15    3.03    1.42    0.00    0.00    0.00    3.03    0.00
 1997 165    17     0     0     0.0    3.5    1.7    1.9    0.12    0.13    0.20    0.16    0.15    0.04    0.04    0.07    0.11    0.17    0.17    0.15    3.27    1.54    0.00    0.00    0.00    3.27    0.00
 1997 166    18     0     0     0.0    3.8    1.8    2.0    0.17    0.14    0.21    0.17    0.16    0.05    0.03    0.08    0.12    0.17    0.18    0.16    3.51    1.69    0.00    0.00    0.00    3.51    0.00
 1997 167    19     0     0     0.0    4.0    2.0    2.0    0.15    0.17    0.23    0.19    0.17    0.05    0.02    0.09    0.13    0.18    0.18    0.17    3.74    1.85    0.00    0.00    0.00    3.74    0.00
 1997 168    20     0     0     0.0    4.2    2.1    2.1    0.18    0.17    0.22    0.21    0.19    0.06    0.04    0.10    0.14    0.18    0.18    0.17    3.98    1.98    0.00    0.00    0.00    3.98    0.00
 1997 169    21     0     0     0.0    4.5    2.3    2.2    0.26    0.19    0.22    0.22    0.20    0.07    0.02    0.10    0.15    0.18    0.19    0.18    4.22    2.16    0.00    0.00    0.00    4.22    0.00
 1997 170    22     0     0     0.0    4.7    2.5    2.3    0.18    0.23    0.25    0.25    0.22    0.07    0.02    0.10    0.16    0.19    0.19    0.18    4.46    2.34    0.00    0.00    0.00    4.46    0.00
 1997 171    23     0     0     0.0    4.9    2.6    2.4    0.22    0.22    0.24    0.25    0.23    0.09    0.04    0.11    0.17    0.19    0.19    0.19    4.70    2.48    0.00    0.00    0.00    4.70    0.00
 1997 172    24     0     0     0.0    5.2    2.8    2.4    0.32    0.24    0.24    0.26    0.24    0.10    0.02    0.11    0.18    0.20    0.20    0.20    4.95    2.68    0.00    0.00    0.00    4.95    0.00
 1997 173    25     0     0     0.0    5.4    3.0    2.4    0.32    0.29    0.26    0.28    0.25    0.11    0.02    0.11    0.19    0.20    0.20    0.20    5.21    2.89    0.00    0.00    0.00    5.21    0.00
 1997 174    26     0     0     0.0    5.7    3.2    2.5    0.30    0.32    0.28    0.30    0.27    0.11    0.04    0.11    0.19    0.20    0.20    0.21    5.46    3.09    0.00    0.00    0.00    5.46    0.00
 1997 175    27     0     0     0.1    5.9    3.3    2.6    0.34    0.33    0.29    0.31    0.28    0.12    0.05    0.11    0.20    0.20    0.20    0.21    5.71    3.26    0.00    0.00    0.00    5.71    0.00
 1997 176    28     0     0     0.1    6.2    3.5    2.6    0.41    0.34    0.30    0.32    0.29    0.13    0.04    0.11    0.21    0.21    0.20    0.22    5.94    3.46    0.00    0.00    0.00    5.94    0.00
 1997 177    29     0     0     0.1    6.4    3.8    2.6    0.53    0.37    0.32    0.34    0.30    0.13    0.02    0.11    0.21    0.21    0.21    0.22    6.18    3.68    0.00    0.00    0.00    6.18    0.00
 1997 178    30     0     0     0.1    6.6    4.0    2.7    0.54    0.40    0.33    0.35    0.32    0.14    0.02    0.10    0.21    0.21    0.21    0.23    6.42    3.88    0.00    0.00    0.00    6.42    0.01
 1997 179    31     0     0     0.1    6.9    4.2    2.7    0.18    0.34    0.42    0.43    0.36    0.15    0.02    0.10    0.22    0.21    0.21    0.23    6.66    4.09    0.00    0.00    0.00    6.66    0.02
 1997 180    32     0     0     0.2    7.0    4.2    2.8    0.22    0.33    0.38    0.41    0.36    0.18    0.04    0.11    0.23    0.22    0.21    0.24    6.90    4.23    0.00    0.00    0.00    6.90    0.02
 1997 181    33     0     0     0.2    7.2    4.4    2.8    0.28    0.34    0.39    0.43    0.38    0.19    0.02    0.12    0.24    0.22    0.21    0.24    7.16    4.44    0.00    0.00    0.00    7.16    0.02
 1997 182    34     0     0     0.3    7.4    4.5    2.9    0.32    0.35    0.38    0.42    0.38    0.22    0.04    0.12    0.25    0.23    0.21    0.25    7.41    4.63    0.00    0.00    0.00    7.41    0.02
 1997 183    35     0     0     0.3    7.6    4.7    2.9    0.42    0.37    0.39    0.43    0.39    0.22    0.03    0.12    0.25    0.23    0.21    0.25    7.66    4.85    0.00    0.00    0.00    7.66    0.02
 1997 184    36     0     0     0.3    7.9    4.9    3.0    0.49    0.40    0.40    0.44    0.41    0.23    0.02    0.11    0.25    0.23    0.22    0.26    7.90    5.07    0.00    0.00    0.00    7.90    0.02
 1997 185    37     0     0     0.3    8.1    5.1    3.0    0.56    0.43    0.42    0.45    0.42    0.23    0.02    0.11    0.25    0.23    0.22    0.26    8.14    5.29    0.00    0.00    0.00    8.14    0.02
 1997 186    38     0     0     0.3    8.3    5.3    3.0    0.61    0.46    0.44    0.47    0.43    0.24    0.02    0.10    0.25    0.23    0.22    0.27    8.38    5.50    0.00    0.00    0.00    8.38    0.03
 1997 187    39     0     0     0.3    8.5    5.5    3.0    0.62    0.49    0.46    0.48    0.45    0.24    0.02    0.10    0.25    0.23    0.22    0.27    8.61    5.72    0.00    0.00    0.00    8.61    0.05
 1997 188    40     0     0     0.3    8.8    5.7    3.0    0.63    0.51    0.48    0.50    0.46    0.25    0.02    0.10    0.25    0.23    0.22    0.27    8.84    5.93    0.00    0.00    0.00    8.84    0.06
 1997 189    41     0     0     0.3    8.9    5.9    3.1    0.65    0.51    0.50    0.52    0.48    0.26    0.02    0.10    0.25    0.23    0.22    0.28    9.07    6.14    0.00    0.00    0.00    9.07    0.11
 1997 190    42     0     0     0.3    9.1    6.0    3.1    0.68    0.51    0.53    0.53    0.49    0.26    0.02    0.10    0.25    0.23    0.22    0.28    9.30    6.36    0.00    0.00    0.00    9.30    0.17
 1997 191    43     0     0     0.3    9.2    6.2    3.1    0.27    0.62    0.59    0.54    0.51    0.27    0.02    0.10    0.25    0.23    0.22    0.28    9.54    6.58    0.00    0.00    0.00    9.54    0.28
 1997 192    44     0     0     0.3    9.4    6.2    3.1    0.31    0.57    0.58    0.57    0.52    0.27    0.04    0.11    0.25    0.23    0.22    0.29    9.78    6.78    0.00    0.00    0.00    9.78    0.41
 1997 193    45     0     0     0.3    9.4    6.3    3.2    0.36    0.54    0.58    0.58    0.53    0.28    0.04    0.11    0.25    0.23    0.23    0.29   10.02    7.00    0.00    0.00    0.00   10.02    0.59
 1997 194    46     0     0     0.3    9.5    6.3    3.2    0.44    0.51    0.57    0.58    0.53    0.28    0.04    0.11    0.25    0.23    0.23    0.30   10.26    7.23    0.00    0.00    0.00   10.26    0.79
 1997 195    47     0     0     0.3    9.6    6.4    3.2    0.28    0.44    0.61    0.64    0.56    0.29    0.02    0.11    0.25    0.23    0.23    0.30   10.50    7.47    0.00    0.00    0.00   10.50    0.92
 1997 196    48     0     0     0.4    9.6    6.3    3.2    0.13    0.25    0.42    0.57    0.68    0.43    0.04    0.12    0.26    0.23    0.23    0.30   10.75    7.64    0.00    0.00    0.00   10.75    1.02
 1997 197    49     0     0     0.6    9.6    6.3    3.4    0.15    0.25    0.40    0.55    0.65    0.46    0.05    0.13    0.27    0.24    0.24    0.31   10.98    7.76    0.00    0.00    0.00   10.98    1.04
 1997 198    50     0     0     1.1    9.4    5.9    3.4    0.18    0.25    0.37    0.50    0.57    0.46    0.05    0.14    0.28    0.25    0.24    0.31   11.22    7.91    0.00    0.00    0.00   11.22    1.06
 1997 199    51     0     0     1.3    9.3    5.9    3.5    0.24    0.28    0.37    0.48    0.53    0.46    0.04    0.13    0.29    0.26    0.25    0.31   11.46    8.12    0.00    0.00    0.00   11.46    1.07
 1997 200    52     0     0     1.4    9.4    5.9    3.5    0.31    0.32    0.39    0.48    0.51    0.46    0.02    0.12    0.29    0.26    0.25    0.32   11.70    8.35    0.01    0.00    0.00   11.70    1.09
 1997 201    53     0     0     1.5    9.6    6.1    3.5    0.37    0.35    0.41    0.49    0.52    0.46    0.03    0.12    0.29    0.26    0.25    0.32   11.94    8.58    0.01    0.00    0.00   11.94    1.09
 1997 202    54     0     0     1.5    9.8    6.3    3.5    0.42    0.38    0.43    0.50    0.51    0.47    0.03    0.11    0.29    0.26    0.25    0.32   12.17    8.81    0.01    0.00    0.00   12.17    1.13
 1997 203    55     0     0     1.5   10.0    6.5    3.5    0.46    0.41    0.45    0.52    0.51    0.47    0.03    0.11    0.28    0.26    0.25    0.33   12.41    9.05    0.01    0.00    0.00   12.41    1.16
 1997 204    56     0     0     1.5   10.2    6.7    3.5    0.51    0.46    0.47    0.51    0.51    0.48    0.03    0.11    0.28    0.26    0.25    0.33   12.65    9.29    0.01    0.00    0.00   12.65    1.25
 1997 205    57     0     0     1.5   10.3    6.8    3.5    0.49    0.50    0.49    0.51    0.51    0.48    0.04    0.11    0.28    0.26    0.25    0.33   12.89    9.53    0.01    0.00    0.00   12.89    1.39
 1997 206    58     0     0     1.5   10.4    6.9    3.5    0.55    0.53    0.51    0.51    0.51    0.49    0.04    0.10    0.28    0.25    0.25    0.33   13.14    9.78    0.01    0.00    0.00   13.14    1.47
 1997 207    59     0     0     1.5   10.5    7.0    3.5    0.56    0.51    0.50    0.53    0.52    0.50    0.02    0.10    0.27    0.25    0.25    0.34   13.39   10.05    0.01    0.00    0.00   13.39    1.72
 1997 208    60     0     0     1.5   10.6    7.1    3.5    0.54    0.54    0.53    0.53    0.52    0.50    0.02    0.10    0.27    0.25    0.25    0.34   13.64   10.31    0.01    0.00    0.00   13.64    1.84
 1997 209    61     0     0     1.5   10.6    7.2    3.4    0.55    0.53    0.53    0.53    0.53    0.51    0.02    0.09    0.27    0.25    0.24    0.34   13.89   10.58    0.01    0.00    0.00   13.89    2.07
 1997 210    62     0     0     1.5   10.6    7.2    3.4    0.54    0.55    0.53    0.53    0.53    0.52    0.02    0.08    0.26    0.25    0.24    0.34   14.13   10.84    0.01    0.00    0.00   14.13    2.28
 1997 211    63     0     0     1.5   10.6    7.2    3.4    0.25    0.59    0.56    0.53    0.54    0.52    0.03    0.08    0.25    0.24    0.24    0.35   14.37   11.10    0.01    0.00    0.00   14.37    2.55
 1997 212    64     0     0     1.5   10.5    7.1    3.4    0.26    0.49    0.58    0.53    0.54    0.52    0.05    0.09    0.25    0.24    0.24    0.35   14.63   11.33    0.01    0.00    0.00   14.63    2.86
 1997 213    65     0     0     1.5   10.6    7.2    3.4    0.29    0.51    0.57    0.54    0.55    0.53    0.05    0.10    0.25    0.24    0.24    0.35   14.88   11.57    0.01    0.00    0.00   14.88    3.04
 1997 214    66     0     0     1.5   10.5    7.1    3.5    0.33    0.43    0.56    0.53    0.55    0.53    0.04    0.10    0.25    0.24    0.24    0.35   15.12   11.80    0.01    0.00    0.00   15.12    3.38
 1997 215    67     0     0     1.5   10.6    7.1    3.4    0.41    0.46    0.54    0.53    0.55    0.53    0.02    0.10    0.25    0.24    0.24    0.36   15.35   12.04    0.01    0.00    0.00   15.35    3.54
 1997 216    68     0     0     1.5   10.7    7.2    3.4    0.44    0.49    0.54    0.54    0.56    0.53    0.03    0.10    0.24    0.23    0.24    0.36   15.58   12.27    0.01    0.00    0.00   15.58    3.69
 1997 217    69     0     0     1.5   10.8    7.3    3.4    0.13    0.30    0.59    0.71    0.56    0.54    0.03    0.10    0.24    0.23    0.24    0.36   15.81   12.51    0.01    0.00    0.00   15.81    3.84
 1997 218    70     0     0     1.5   10.8    7.2    3.5    0.14    0.29    0.51    0.63    0.63    0.57    0.04    0.12    0.25    0.23    0.24    0.36   16.06   12.69    0.01    0.00    0.00   16.06    4.05
 1997 219    71     0     0     1.7   10.6    7.0    3.6    0.17    0.30    0.46    0.59    0.61    0.58    0.05    0.13    0.26    0.23    0.24    0.36   16.32   12.90    0.01    0.00    0.00   16.32    4.35
 1997 220    72     0     0     1.7   10.6    7.0    3.6    0.22    0.32    0.46    0.56    0.59    0.58    0.04    0.12    0.27    0.23    0.24    0.37   16.58   13.14    0.01    0.00    0.00   16.58    4.55
 1997 221    73     0     0     1.7   10.7    7.1    3.6    0.29    0.36    0.48    0.54    0.58    0.58    0.03    0.12    0.27    0.23    0.24    0.37   16.84   13.40    0.01    0.00    0.00   16.84    4.74
 1997 222    74     0     0     1.7   10.7    7.2    3.6    0.32    0.40    0.50    0.52    0.57    0.58    0.03    0.12    0.27    0.23    0.24    0.37   17.09   13.65    0.01    0.00    0.00   17.09    4.92
 1997 223    75     0     0     1.7   10.8    7.2    3.6    0.36    0.43    0.53    0.51    0.56    0.58    0.02    0.11    0.27    0.23    0.24    0.37   17.35   13.90    0.01    0.00    0.00   17.35    5.09
 1997 224    76     0     0     1.7   10.8    7.2    3.6    0.40    0.46    0.49    0.53    0.56    0.59    0.02    0.11    0.27    0.23    0.24    0.37   17.61   14.15    0.01    0.00    0.00   17.61    5.34
 1997 225    77     0     0     1.7   10.9    7.3    3.6    0.43    0.49    0.51    0.51    0.56    0.59    0.02    0.11    0.27    0.23    0.24    0.38   17.86   14.41    0.01    0.00    0.00   17.86    5.49
 1997 226    78     0     0     1.7   10.9    7.3    3.6    0.46    0.53    0.48    0.50    0.55    0.59    0.01    0.10    0.27    0.23    0.24    0.38   18.11   14.66    0.01    0.00    0.00   18.11    5.77
 1997 227    79     0     0     1.7   11.0    7.4    3.6    0.48    0.51    0.51    0.52    0.55    0.59    0.01    0.10    0.27    0.23    0.24    0.38   18.35   14.91    0.01    0.00    0.00   18.35    5.91
 1997 228    80     0     0     1.7   11.1    7.5    3.6    0.50    0.53    0.53    0.52    0.55    0.59    0.03    0.09    0.27    0.23    0.24    0.38   18.60   15.15    0.01    0.00    0.00   18.60    6.05
 1997 229    81     0     0     1.7   11.1    7.5    3.6    0.55    0.53    0.52    0.51    0.55    0.60    0.02    0.09    0.26    0.23    0.24    0.38   18.84   15.40    0.01    0.00    0.00   18.84    6.33
 1997 230    82     0     0     1.7   11.1    7.5    3.6    0.12    0.28    0.63    0.66    0.56    0.60    0.02    0.08    0.26    0.23    0.24    0.39   19.07   15.65    0.01    0.00    0.00   19.07    6.54
 1997 231    83     0     0     1.8   11.0    7.4    3.6    0.12    0.26    0.54    0.60    0.60    0.62    0.04    0.10    0.27    0.23    0.24    0.39   19.34   15.84    0.01    0.00    0.00   19.34    6.83
 1997 232    84     0     0     1.8   10.8    7.2    3.7    0.17    0.28    0.48    0.57    0.59    0.63    0.04    0.11    0.28    0.23    0.24    0.39   19.62   16.08    0.01    0.00    0.00   19.62    7.21
 1997 233    85     0     0     1.8   10.9    7.2    3.7    0.14    0.28    0.50    0.57    0.59    0.63    0.02    0.11    0.28    0.23    0.24    0.39   19.90   16.36    0.01    0.00    0.00   19.90    7.43
 1997 234    86     0     0     2.0   10.7    7.0    3.7    0.16    0.28    0.48    0.53    0.56    0.63    0.04    0.13    0.29    0.24    0.24    0.39   20.17   16.57    0.01    0.00    0.00   20.17    7.66
 1997 235    87     0     0     2.1   10.7    7.0    3.7    0.21    0.30    0.49    0.50    0.55    0.63    0.04    0.13    0.29    0.24    0.24    0.39   20.46   16.85    0.01    0.00    0.00   20.46    7.89
 1997 236    88     0     0     2.1   10.9    7.2    3.7    0.26    0.34    0.51    0.52    0.53    0.63    0.04    0.12    0.29    0.23    0.24    0.39   20.74   17.13    0.01    0.00    0.00   20.74    8.01
 1997 237    89     0     0     2.1   11.0    7.3    3.7    0.21    0.38    0.55    0.51    0.53    0.64    0.02    0.12    0.29    0.23    0.24    0.39   21.03   17.44    0.01    0.00    0.00   21.03    8.22
 1997 238    90     0     0     2.1   10.8    7.0    3.8    0.23    0.39    0.46    0.49    0.52    0.64    0.05    0.13    0.29    0.23    0.24    0.40   21.32   17.70    0.01    0.00    0.00   21.32    8.67
 1997 239    91     0     0     2.1   11.0    7.2    3.8    0.22    0.42    0.51    0.52    0.51    0.64    0.04    0.12    0.29    0.23    0.24    0.40   21.61   17.99    0.01    0.00    0.00   21.61    8.78
 1997 240    92     0     0     2.1   11.1    7.3    3.8    0.25    0.42    0.52    0.50    0.54    0.64    0.05    0.13    0.29    0.23    0.24    0.40   21.89   18.26    0.01    0.00    0.00   21.89    8.92
 1997 241    93     0     0     2.1   11.0    7.3    3.8    0.19    0.44    0.48    0.54    0.53    0.65    0.05    0.12    0.28    0.23    0.24    0.40   22.18   18.56    0.01    0.00    0.00   22.18    9.26
 1997 242    94     0     0     2.3   11.0    7.2    3.8    0.23    0.42    0.49    0.50    0.51    0.65    0.05    0.13    0.29    0.23    0.24    0.40   22.46   18.81    0.01    0.00    0.00   22.46    9.49
 1997 243    95     0     0     2.3   11.1    7.4    3.8    0.29    0.45    0.52    0.53    0.50    0.65    0.04    0.13    0.28    0.23    0.24    0.40   22.74   19.10    0.01    0.00    0.00   22.74    9.59
 1997 244    96     0     0     2.3   11.1    7.3    3.7    0.37    0.49    0.46    0.50    0.52    0.65    0.02    0.12    0.28    0.23    0.24    0.40   23.02   19.40    0.01    0.00    0.00   23.02    9.93
 1997 245    97     0     0     2.3   11.3    7.5    3.7    0.41    0.53    0.49    0.52    0.52    0.65    0.03    0.12    0.28    0.23    0.24    0.40   23.29   19.69    0.01    0.00    0.00   23.29   10.03
 1997 246    98     0     0     2.3   11.2    7.5    3.7    0.45    0.45    0.52    0.51    0.51    0.65    0.02    0.11    0.28    0.23    0.24    0.40   23.57   19.97    0.01    0.00    0.00   23.57   10.37
 1997 247    99     0     0     2.3   11.2    7.5    3.7    0.45    0.50    0.48    0.53    0.51    0.65    0.02    0.11    0.28    0.23    0.24    0.41   23.84   20.24    0.01    0.00    0.00   23.84   10.62
 1997 248   100     0     0     2.3   11.4    7.6    3.7    0.22    0.50    0.58    0.53    0.52    0.65    0.04    0.11    0.28    0.23    0.24    0.41   24.11   20.50    0.01    0.00    0.00   24.11   10.73
 1997 249   101     0     0     2.3   11.2    7.4    3.8    0.24    0.47    0.49    0.55    0.54    0.65    0.05    0.12    0.28    0.23    0.24    0.41   24.38   20.74    0.01    0.00    0.00   24.38   11.15
 1997 250   102     0     0     2.3   11.3    7.5    3.8    0.29    0.47    0.52    0.53    0.53    0.65    0.04    0.13    0.27    0.23    0.24    0.41   24.65   21.00    0.01    0.00    0.00   24.65   11.36
 1997 251   103     0     0     2.3   11.1    7.4    3.8    0.18    0.37    0.50    0.55    0.56    0.66    0.02    0.13    0.27    0.23    0.24    0.41   24.91   21.28    0.01    0.00    0.00   24.91   11.75
 1997 252   104     0     0     2.3   11.2    7.4    3.8    0.12    0.30    0.46    0.57    0.60    0.68    0.04    0.14    0.29    0.24    0.24    0.41   25.18   21.48    0.01    0.00    0.00   25.18   11.95
 1997 253   105     0     0     2.3   11.3    7.4    3.9    0.12    0.29    0.44    0.55    0.60    0.70    0.06    0.15    0.30    0.25    0.24    0.41   25.45   21.66    0.02    0.00    0.00   25.45   12.08
 1997 254   106     0     0     2.9   10.9    6.9    4.0    0.15    0.29    0.42    0.50    0.53    0.66    0.06    0.15    0.31    0.26    0.24    0.41   25.72   21.86    0.02    0.00    0.00   25.72   12.21
 1997 255   107     0     0     3.1   10.8    6.8    4.0    0.21    0.32    0.42    0.49    0.50    0.65    0.05    0.15    0.31    0.26    0.24    0.41   25.99   22.12    0.02    0.00    0.00   25.99   12.31
 1997 256   108     0     0     3.2   11.0    7.0    4.0    0.13    0.24    0.40    0.57    0.57    0.66    0.02    0.13    0.31    0.27    0.24    0.41   26.26   22.42    0.02    0.00    0.00   26.26   12.34
 1997 257   109     0     0     3.8   10.5    6.5    4.1    0.15    0.24    0.37    0.50    0.50    0.63    0.04    0.14    0.32    0.27    0.25    0.42   26.53   22.60    0.03    0.00    0.00   26.53   12.45
 1997 258   110     0     0     3.8   10.7    6.6    4.1    0.15    0.27    0.38    0.50    0.53    0.64    0.04    0.14    0.33    0.28    0.25    0.42   26.80   22.85    0.04    0.00    0.00   26.80   12.49
 1997 259   111     0     0     4.1   10.6    6.5    4.1    0.18    0.29    0.38    0.48    0.49    0.62    0.05    0.14    0.33    0.28    0.25    0.42   27.07   23.09    0.04    0.00    0.00   27.07   12.58
 1997 260   112     0     0     4.1   10.8    6.7    4.1    0.15    0.30    0.42    0.51    0.52    0.63    0.04    0.13    0.33    0.28    0.25    0.42   27.35   23.40    0.05    0.00    0.00   27.35   12.62
 1997 261   113     0     0     4.2   10.8    6.7    4.1    0.11    0.25    0.43    0.52    0.53    0.63    0.05    0.14    0.33    0.28    0.24    0.42   27.62   23.64    0.05    0.00    0.00   27.62   12.80
 1997 262   114     0     0     4.7   10.5    6.3    4.2    0.13    0.24    0.39    0.47    0.48    0.61    0.06    0.15    0.34    0.29    0.25    0.42   27.88   23.84    0.06    0.00    0.00   27.88   12.94
 1997 263   115     0     0     4.9   10.5    6.3    4.2    0.18    0.27    0.38    0.46    0.48    0.60    0.05    0.15    0.34    0.29    0.25    0.42   28.14   24.09    0.07    0.00    0.00   28.14   12.97
 1997 264   116     0     0     5.0   10.6    6.4    4.2    0.23    0.30    0.39    0.47    0.49    0.60    0.04    0.14    0.34    0.29    0.25    0.42   28.41   24.37    0.07    0.00    0.00   28.41   13.00
 1997 265   117     0     0     5.0   10.8    6.7    4.1    0.16    0.30    0.45    0.52    0.52    0.60    0.02    0.13    0.34    0.29    0.25    0.42   28.67   24.70    0.07    0.00    0.00   28.67   13.03
 1997 266   118     0     0     5.3   10.7    6.5    4.2    0.17    0.29    0.43    0.48    0.49    0.60    0.04    0.14    0.34    0.29    0.24    0.42   28.94   24.92    0.07    0.00    0.00   28.94   13.22
 1997 267   119     0     0     5.3   10.9    6.7    4.1    0.18    0.32    0.45    0.51    0.52    0.60    0.04    0.14    0.34    0.29    0.24    0.42   29.21   25.20    0.07    0.00    0.00   29.21   13.26
 1997 268   120     0     0     5.4   10.9    6.8    4.1    0.21    0.34    0.46    0.52    0.50    0.60    0.05    0.14    0.34    0.28    0.24    0.42   29.49   25.48    0.07    0.00    0.00   29.49   13.36
 1997 269   121     0     0     5.4   11.0    6.9    4.1    0.25    0.37    0.48    0.50    0.52    0.61    0.04    0.13    0.34    0.28    0.24    0.42   29.76   25.77    0.07    0.00    0.00   29.76   13.49
 1997 270   122     0     0     5.6   11.1    7.0    4.1    0.11    0.21    0.38    0.54    0.64    0.66    0.04    0.12    0.33    0.28    0.24    0.42   30.02   26.08    0.07    0.00    0.00   30.02   13.59

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   3        : 97 DATE2 CHINESE          CRGRO045 GHNY9701    3              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  3   : 97 DATE2 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 176     0     0     0     0.0    0.3    0.1    0.1    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1997 177     1     0     0     0.0    0.5    0.2    0.3    0.02    0.01    0.01    0.01    0.01    0.01    0.02    0.03    0.03    0.03    0.03    0.02    0.21    0.02    0.00    0.00    0.00    0.21    0.00
 1997 178     2     0     0     0.0    0.7    0.2    0.5    0.05    0.02    0.01    0.01    0.01    0.01    0.02    0.04    0.04    0.04    0.04    0.03    0.43    0.07    0.00    0.00    0.00    0.43    0.00
 1997 179     3     0     0     0.0    0.9    0.3    0.6    0.04    0.04    0.02    0.02    0.02    0.01    0.01    0.05    0.06    0.05    0.05    0.04    0.65    0.14    0.00    0.00    0.00    0.65    0.00
 1997 180     4     0     0     0.0    1.1    0.3    0.8    0.06    0.05    0.02    0.02    0.02    0.01    0.03    0.07    0.08    0.07    0.07    0.05    0.87    0.19    0.00    0.00    0.00    0.87    0.00
 1997 181     5     0     0     0.0    1.4    0.4    0.9    0.09    0.06    0.03    0.03    0.03    0.01    0.01    0.07    0.09    0.08    0.08    0.06    1.10    0.29    0.00    0.00    0.00    1.10    0.00
 1997 182     6     0     0     0.0    1.6    0.5    1.1    0.11    0.08    0.04    0.03    0.03    0.02    0.03    0.08    0.10    0.09    0.09    0.07    1.33    0.38    0.00    0.00    0.00    1.33    0.00
 1997 183     7     0     0     0.0    1.8    0.6    1.2    0.16    0.10    0.05    0.04    0.04    0.02    0.02    0.08    0.11    0.10    0.10    0.07    1.57    0.50    0.00    0.00    0.00    1.57    0.00
