*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 192    45    43    24.5     0.0    24.5    0.00    3.42     27.9     0.7    17.0     7.5    4.66    2.14     2.8    1.8    1.9    0.24    0.30
 1997 193    46    44    26.8     0.0    26.8    0.00    3.38     30.5     0.9    18.5     8.3    4.63    2.12     2.8    1.8    2.3    0.27    0.32
 1997 194    47    45    29.4     0.0    29.3    0.00    3.36     33.5     1.1    20.1     9.2    4.62    2.10     2.8    1.8    2.6    0.32    0.34
 1997 195    48    46    32.2     0.0    32.0    0.00    3.36     36.6     1.2    21.8    10.1    4.64    2.10     2.8    1.8    2.9    0.39    0.37
 1997 196    49    47    34.2     0.0    34.0    0.00    3.35     38.8     1.2    23.1    10.9    4.65    2.10     2.8    1.8    2.3    0.47    0.40
 1997 197    50    48    35.8     0.0    35.5    0.00    3.34     40.6     1.2    24.0    11.4    4.65    2.10     2.8    1.8    1.8    0.53    0.42
 1997 198    51    49    38.6     0.0    38.1    0.00    3.33     43.8     1.2    25.7    12.4    4.65    2.09     2.8    1.8    3.0    0.59    0.45
 1997 199    52    50    41.6     0.0    40.9    0.00    3.31     47.2     1.2    27.5    13.4    4.64    2.08     2.7    1.8    3.2    0.63    0.48
 1997 200    53    51    44.7     0.0    43.9    4.39    3.29     50.8     1.3    29.4    14.5    4.64    2.07     2.7    1.8    3.4    0.68    0.51
 1997 201    54    52    47.4     0.0    46.3    4.25    3.28     53.7     1.3    30.9    15.4    4.63    2.07     2.7    1.8    2.9    0.73    0.55
 1997 202    55    53    48.9     0.1    47.6    4.25    3.25     55.3     1.3    31.7    15.9    4.61    2.05     2.7    1.8    1.7    0.78    0.58
 1997 203    56    54    52.3     0.2    50.7    4.32    3.22     59.4     1.4    33.6    17.1    4.58    2.03     2.7    1.8    3.6    0.83    0.61
 1997 204    57    55    55.8     0.3    53.8    4.39    3.21     63.1     1.5    35.5    18.3    4.59    2.03     2.7    1.8    3.7    0.89    0.65
 1997 205    58    56    59.2     0.5    56.7    4.41    3.20     66.7     1.6    37.3    19.5    4.58    2.03     2.7    1.8    3.6    0.95    0.69
 1997 206    59    57    63.2     0.6    60.2    4.39    3.19     70.8     1.8    39.4    20.8    4.58    2.02     2.7    1.8    4.1    1.01    0.73
 1997 207    60    58    67.2     0.9    63.6    4.43    3.17     75.0     2.0    41.4    22.2    4.58    2.02     2.6    1.8    4.1    1.08    0.78
 1997 208    61    59    71.0     1.1    66.8    4.46    3.16     78.9     2.2    43.3    23.5    4.57    2.01     2.6    1.8    3.9    1.15    0.82
 1997 209    62    60    75.0     1.4    70.1    4.48    3.14     83.1     2.4    45.3    24.8    4.56    2.00     2.6    1.8    4.1    1.23    0.87
 1997 210    63    61    77.8     1.7    72.1    4.48    3.12     85.8     2.7    46.5    25.7    4.54    1.99     2.6    1.8    2.7    1.31    0.92
 1997 211    64    62    79.8     2.1    73.3    4.46    3.09     87.7     3.0    47.2    26.2    4.51    1.97     2.6    1.8    1.9    1.40    0.97
 1997 212    65    63    81.3     2.5    73.9    4.40    3.05     89.1     3.2    47.5    26.4    4.48    1.94     2.6    1.8    1.4    1.48    1.02
 1997 213    66    64    83.5     3.0    75.1    4.38    3.03     91.4     3.4    48.2    27.0    4.46    1.93     2.6    1.8    2.3    1.57    1.07
 1997 214    67    65    87.6     3.6    78.2    4.39    3.01     95.4     3.7    49.9    28.3    4.45    1.92     2.5    1.8    4.1    1.66    1.12
 1997 215    68    66    91.4     4.2    80.9    4.42    2.99     99.3     3.8    51.4    29.5    4.43    1.91     2.5    1.8    3.9    1.75    1.17
 1997 216    69    67    93.6     4.9    81.9    4.42    2.96    101.6     4.0    52.0    30.0    4.40    1.89     2.5    1.7    2.3    1.85    1.22
 1997 217    70    68    96.4     5.6    83.4    4.42    2.94    104.4     4.2    52.7    30.7    4.38    1.87     2.5    1.7    2.7    1.95    1.28
 1997 218    71    69    97.4     6.4    83.1    4.39    2.90    105.2     4.5    52.5    30.6    4.33    1.85     2.5    1.7    0.8    2.05    1.32
 1997 219    72    70    99.9     7.3    84.1    4.39    2.87    107.6     4.7    53.0    31.1    4.31    1.83     2.5    1.7    2.4    2.16    1.38
 1997 220    73    71   103.9     8.3    86.6    4.38    2.85    111.7     4.9    54.3    32.2    4.29    1.82     2.5    1.7    4.1    2.25    1.43
 1997 221    74    72   106.5     9.4    87.7    4.40    2.83    114.3     5.1    54.9    32.8    4.27    1.81     2.4    1.7    2.6    2.36    1.48
 1997 222    75    73   110.3    10.5    89.8    4.40    2.80    118.2     5.2    56.0    33.8    4.25    1.80     2.4    1.7    3.9    2.46    1.54
 1997 223    76    74   114.1    11.7    91.8    4.40    2.78    122.0     5.5    57.0    34.8    4.23    1.78     2.4    1.6    3.8    2.57    1.59
 1997 224    77    75   117.2    13.0    93.1    4.40    2.76    125.1     5.6    57.7    35.5    4.20    1.77     2.4    1.6    3.2    2.68    1.65
 1997 225    78    76   120.4    14.4    94.5    4.41    2.73    128.3     5.9    58.3    36.2    4.18    1.76     2.4    1.6    3.1    2.79    1.71
 1997 226    79    77   123.5    15.8    95.7    4.42    2.71    131.4     6.1    58.9    36.8    4.15    1.74     2.3    1.6    3.1    2.90    1.77
 1997 227    80    78   124.4    17.3    94.5    4.41    2.67    132.2     6.2    58.1    36.4    4.11    1.71     2.3    1.6    0.8    3.02    1.82
 1997 228    81    79   127.8    18.9    95.9    4.42    2.65    135.5     6.5    58.8    37.1    4.09    1.70     2.3    1.6    3.3    3.13    1.88
 1997 229    82    80   129.9    20.6    95.9    4.42    2.62    137.5     6.7    58.6    37.2    4.05    1.68     2.3    1.6    2.0    3.24    1.93
 1997 230    83    81   133.0    22.3    96.8    4.44    2.60    140.5     7.0    59.0    37.8    4.03    1.67     2.3    1.5    3.0    3.35    1.99
 1997 231    84    82   136.5    24.1    98.0    4.43    2.58    143.7     7.4    59.5    38.5    4.01    1.66     2.3    1.5    3.3    3.47    2.04
 1997 232    85    83   139.8    26.0    99.0    4.43    2.56    147.0     7.6    59.9    39.1    3.99    1.65     2.2    1.5    3.3    3.59    2.10
 1997 233    86    84   143.7    27.9   100.5    4.44    2.54    150.9     7.8    60.6    40.0    3.97    1.64     2.2    1.5    3.8    3.71    2.15
 1997 234    87    85   146.1    29.9   100.6    4.45    2.52    153.3     8.0    60.5    40.1    3.94    1.63     2.2    1.5    2.4    3.84    2.21
 1997 235    88    86   146.4    32.6    98.6    4.53    2.47    153.4     8.2    59.4    39.3    3.89    1.59     2.1    1.5    0.1    3.96    2.35
 1997 236    89    87   149.0    34.8    98.6    4.52    2.45    155.9     8.4    59.2    39.4    3.86    1.58     2.1    1.5    2.5    4.09    2.40
 1997 237    90    88   152.3    37.1    99.3    4.53    2.43    159.1     8.7    59.4    39.9    3.84    1.57     2.1    1.4    3.2    4.23    2.46
 1997 238    91    89   154.8    39.5    99.0    4.52    2.40    161.4     8.9    59.1    39.9    3.81    1.55     2.1    1.4    2.3    4.35    2.51
 1997 239    92    90   157.6    42.0    99.0    4.52    2.38    164.2     9.1    58.9    40.1    3.78    1.54     2.1    1.4    2.8    4.48    2.56
 1997 240    93    91   158.5    44.5    97.7    4.52    2.35    164.8     9.5    58.2    39.6    3.74    1.52     2.0    1.4    0.6    4.60    2.61
 1997 241    94    92   162.1    47.0    98.4    4.51    2.34    168.4     9.6    58.3    40.1    3.73    1.51     2.0    1.4    3.5    4.72    2.66
 1997 242    95    93   165.3    49.7    98.7    4.51    2.32    171.7     9.7    58.3    40.4    3.71    1.51     2.0    1.4    3.3    4.84    2.71
 1997 243    96    94   168.6    52.4    99.1    4.51    2.30    174.8    10.1    58.3    40.8    3.68    1.50     2.0    1.4    3.1    4.96    2.76
 1997 244    97    95   171.6    55.0    99.1    4.51    2.28    177.7    10.2    58.1    41.0    3.66    1.49     2.0    1.4    3.0    5.08    2.81
 1997 245    98    96   174.3    57.8    98.9    4.51    2.26    180.2    10.5    57.8    41.0    3.64    1.48     1.9    1.3    2.5    5.20    2.86
 1997 246    99    97   175.6    60.7    97.7    4.50    2.23    181.3    10.8    57.1    40.6    3.60    1.46     1.9    1.3    1.0    5.32    2.91
 1997 247   100    98   177.0    63.5    96.6    4.50    2.21    182.5    10.9    56.4    40.2    3.56    1.44     1.9    1.3    1.3    5.43    2.96
 1997 248   101    99   179.9    66.3    96.4    4.50    2.19    185.2    11.3    56.2    40.3    3.54    1.43     1.8    1.3    2.6    5.53    3.01
 1997 249   102   100   181.8    69.2    95.6    4.50    2.17    187.0    11.5    55.6    40.0    3.51    1.41     1.8    1.3    1.8    5.64    3.05
 1997 250   103   101   184.4    72.0    95.1    4.49    2.15    189.2    11.9    55.2    39.9    3.48    1.40     1.8    1.3    2.2    5.75    3.10
 1997 251   104   102   187.6    74.9    95.2    4.49    2.13    192.4    12.1    55.1    40.2    3.47    1.40     1.8    1.3    3.2    5.85    3.14
 1997 252   105   103   189.1    77.9    94.2    4.49    2.11    193.8    12.2    54.4    39.8    3.43    1.38     1.7    1.2    1.4    5.95    3.19
 1997 253   106   104   191.4    80.9    93.6    4.49    2.09    196.1    12.4    53.9    39.6    3.41    1.37     1.7    1.2    2.3    6.05    3.23
 1997 254   107   105   193.6    83.8    92.9    4.49    2.07    198.2    12.5    53.4    39.5    3.38    1.36     1.7    1.2    2.2    6.15    3.27
 1997 255   108   106   196.6    86.8    92.8    4.48    2.06    201.3    12.5    53.2    39.6    3.36    1.35     1.7    1.2    3.1    6.24    3.32
 1997 256   109   107   199.7    89.7    92.9    4.49    2.04    204.3    12.6    53.0    39.8    3.35    1.34     1.7    1.2    3.0    6.34    3.36
 1997 257   110   108   202.0    92.6    92.3    4.48    2.03    206.7    12.6    52.6    39.7    3.32    1.33     1.6    1.2    2.4    6.43    3.40
 1997 258   111   109   205.0    95.5    92.3    4.49    2.01    209.7    12.7    52.4    39.9    3.31    1.33     1.6    1.2    2.9    6.52    3.44
 1997 259   112   110   207.8    98.3    92.2    4.48    2.00    212.5    12.8    52.2    40.0    3.29    1.32     1.6    1.2    2.9    6.61    3.48
 1997 260   113   111   210.6   101.1    92.3    4.48    1.99    215.4    12.9    52.0    40.3    3.27    1.32     1.6    1.2    2.9    6.70    3.52
 1997 261   114   112   211.4   104.0    90.5    4.50    1.95    216.0    13.0    51.1    39.4    3.22    1.29     1.6    1.1    0.6    6.79    3.56
 1997 262   115   113   213.7   107.1    89.7    4.51    1.93    218.4    13.0    50.6    39.1    3.20    1.27     1.5    1.1    2.4    6.88    3.59
 1997 263   116   114   215.7   110.1    88.8    4.53    1.90    220.3    13.1    50.0    38.7    3.17    1.26     1.5    1.1    2.0    6.96    3.63
 1997 264   117   115   218.7   112.8    89.1    4.53    1.90    223.4    13.1    50.0    39.1    3.16    1.26     1.5    1.1    3.1    7.04    3.67
 1997 265   118   116   221.3   115.4    89.2    4.53    1.89    225.9    13.3    49.8    39.3    3.14    1.26     1.5    1.1    2.5    7.11    3.71
 1997 266   119   117   221.8   117.8    87.6    4.55    1.86    226.3    13.3    49.0    38.6    3.10    1.23     1.5    1.1    0.4    7.19    3.74
 1997 267   120   118   224.5   120.5    87.7    4.56    1.85    228.9    13.5    48.9    38.8    3.09    1.22     1.5    1.1    2.6    7.27    3.78
 1997 268   121   119   225.4   123.2    86.2    4.58    1.81    229.8    13.6    48.2    38.1    3.05    1.20     1.4    1.1    0.9    7.34    3.81
 1997 269   122   120   227.6   125.7    86.0    4.59    1.80    231.9    13.8    47.9    38.0    3.03    1.19     1.4    1.1    2.1    7.40    3.85
 1997 270   123   121   227.7   127.3    84.7    4.57    1.74    231.9    13.8    47.3    37.4    2.97    1.14     1.4    1.0    0.0    7.47    3.88

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:35
                                                                                
*RUN   3        : 97 DATE2 CHINESE          CRGRO045 GHNY9701    3              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  3   : 97 DATE2 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 177     2     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 178     3     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 179     4     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 180     5     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 181     6     4     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 182     7     5     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 183     8     6     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 1997 184     9     7     0.5     0.0     0.5    0.00    4.84      0.1     0.0     0.5     0.1    5.36    2.56     0.0    2.3    0.0    0.00    0.00
 1997 185    10     8     0.5     0.0     0.5    0.00    4.81      0.1     0.0     0.5     0.1    5.31    2.52     0.0    2.2    0.0    0.00    0.01
 1997 186    11     9     0.6     0.0     0.6    0.00    4.82      0.1     0.0     0.5     0.1    5.30    2.50     0.0    2.2    0.0    0.00    0.01
 1997 187    12    10     0.7     0.0     0.7    0.00    4.80      0.2     0.0     0.6     0.1    5.27    2.47     0.0    2.2    0.1    0.00    0.01
 1997 188    13    11     0.8     0.0     0.8    0.00    4.74      0.3     0.0     0.7     0.1    5.17    2.43     0.0    2.2    0.1    0.00    0.01
 1997 189    14    12     0.9     0.0     0.9    0.00    4.60      0.4     0.0     0.8     0.1    5.00    2.33     0.0    2.1    0.1    0.00    0.02
 1997 190    15    13     1.0     0.0     1.0    0.00    4.46      0.5     0.0     0.9     0.1    4.87    2.22     0.0    2.0    0.1    0.00    0.02
 1997 191    16    14     1.1     0.0     1.1    0.00    4.44      0.6     0.0     1.0     0.1    4.86    2.24     0.0    2.0    0.1    0.00    0.02
 1997 192    17    15     1.2     0.0     1.2    0.00    4.38      0.8     0.0     1.1     0.1    4.83    2.23     0.0    2.0    0.1    0.01    0.02
 1997 193    18    16     1.3     0.0     1.3    0.00    4.21      0.9     0.0     1.2     0.1    4.73    2.10     0.0    1.9    0.1    0.01    0.03
 1997 194    19    17     1.5     0.0     1.5    0.00    4.05      1.2     0.0     1.3     0.2    4.65    2.06     0.0    1.9    0.2    0.01    0.03
 1997 195    20    18     1.7     0.0     1.7    0.00    3.97      1.4     0.0     1.4     0.2    4.65    2.14     0.0    1.9    0.2    0.01    0.03
 1997 196    21    19     1.9     0.0     1.9    0.00    3.98      1.6     0.0     1.6     0.3    4.69    2.18     0.0    1.9    0.2    0.01    0.04
 1997 197    22    20     2.0     0.0     2.0    0.00    3.98      1.8     0.0     1.7     0.3    4.71    2.21     0.0    1.9    0.2    0.02    0.04
 1997 198    23    21     2.3     0.0     2.3    0.00    3.86      2.1     0.0     1.9     0.4    4.63    2.10     0.0    1.8    0.3    0.02    0.05
 1997 199    24    22     2.5     0.0     2.5    0.00    3.77      2.5     0.0     2.1     0.4    4.57    2.08     0.0    1.8    0.3    0.02    0.05
 1997 200    25    23     2.9     0.0     2.9    0.00    3.70      3.0     0.0     2.3     0.5    4.52    2.07     0.0    1.8    0.4    0.02    0.06
 1997 201    26    24     3.3     0.0     3.3    0.00    3.73      3.4     0.0     2.6     0.6    4.58    2.12     0.0    1.8    0.4    0.03    0.06
 1997 202    27    25     3.6     0.0     3.6    0.00    3.74      3.7     0.0     2.8     0.7    4.61    2.15     0.0    1.8    0.3    0.03    0.07
 1997 203    28    26     4.0     0.0     4.0    0.00    3.59      4.3     0.0     3.2     0.8    4.51    2.03     0.0    1.8    0.5    0.04    0.07
 1997 204    29    27     4.5     0.0     4.5    0.00    3.53      5.0     0.0     3.5     1.0    4.47    2.02     0.0    1.7    0.5    0.04    0.08
 1997 205    30    28     5.1     0.0     5.1    0.00    3.52      5.7     0.0     3.9     1.2    4.48    2.04     0.0    1.8    0.7    0.04    0.09
 1997 206    31    29     5.7     0.0     5.7    0.00    3.50      6.6     0.0     4.4     1.4    4.47    2.04     0.0    1.8    0.7    0.05    0.09
 1997 207    32    30     6.5     0.0     6.5    0.00    3.50      7.6     0.0     4.9     1.6    4.49    2.06     0.0    1.8    0.9    0.06    0.10
 1997 208    33    31     7.4     0.0     7.4    0.00    3.51      8.6     0.0     5.6     1.8    4.53    2.09     0.0    1.8    1.0    0.06    0.11
 1997 209    34    32     8.3     0.0     8.3    0.00    3.50      9.9     0.0     6.2     2.1    4.55    2.10     0.0    1.8    1.1    0.07    0.12
 1997 210    35    33     9.3     0.0     9.3    0.00    3.52     10.9     0.1     6.9     2.4    4.59    2.12     0.0    1.8    1.0    0.08    0.13
 1997 211    36    34    10.2     0.0    10.2    0.00    3.53     11.8     0.1     7.5     2.7    4.62    2.13     2.8    1.8    0.9    0.09    0.14
 1997 212    37    35    11.0     0.0    11.0    0.00    3.53     12.7     0.2     8.1     3.0    4.64    2.14     2.8    1.8    0.9    0.10    0.15
 1997 213    38    36    12.1     0.0    12.1    0.00    3.53     13.8     0.3     8.8     3.3    4.66    2.15     2.8    1.8    1.1    0.11    0.16
 1997 214    39    37    13.2     0.0    13.2    0.00    3.43     15.3     0.3     9.6     3.7    4.56    2.09     2.8    1.8    1.2    0.13    0.18
 1997 215    40    38    14.7     0.0    14.6    0.00    3.40     17.0     0.5    10.5     4.1    4.54    2.07     2.8    1.8    1.5    0.14    0.19
 1997 216    41    39    16.1     0.0    16.0    0.00    3.41     18.5     0.5    11.4     4.6    4.56    2.09     2.8    1.8    1.5    0.16    0.21
 1997 217    42    40    17.6     0.0    17.5    0.00    3.40     20.3     0.6    12.4     5.1    4.58    2.09     2.8    1.8    1.7    0.17    0.23
 1997 218    43    41    18.8     0.0    18.6    0.00    3.39     21.5     0.6    13.1     5.4    4.58    2.09     2.8    1.8    1.2    0.19    0.24
 1997 219    44    42    20.4     0.0    20.1    0.00    3.38     23.3     0.6    14.1     6.0    4.58    2.08     2.8    1.8    1.8    0.21    0.26
 1997 220    45    43    22.1     0.0    21.7    0.00    3.29     25.6     0.7    15.2     6.5    4.49    2.03     2.8    1.8    1.8    0.23    0.28
 1997 221    46    44    24.1     0.0    23.5    0.00    3.29     27.7     0.7    16.4     7.2    4.52    2.04     2.8    1.8    2.2    0.27    0.31
 1997 222    47    45    26.2     0.0    25.4    0.00    3.25     30.4     0.8    17.6     7.8    4.48    2.01     2.7    1.8    2.2    0.33    0.33
 1997 223    48    46    28.5     0.0    27.6    4.44    3.23     33.2     0.8    18.9     8.6    4.48    2.01     2.7    1.8    2.6    0.39    0.35
 1997 224    49    47    31.0     0.0    29.7    4.40    3.23     35.8     1.0    20.3     9.4    4.50    2.01     2.7    1.8    2.6    0.47    0.38
 1997 225    50    48    33.6     0.1    32.0    4.45    3.23     38.5     1.1    21.7    10.2    4.51    2.01     2.7    1.8    2.7    0.52    0.41
 1997 226    51    49    36.2     0.2    34.2    4.49    3.22     41.2     1.2    23.1    11.1    4.52    2.01     2.7    1.8    2.7    0.56    0.44
 1997 227    52    50    37.7     0.3    35.2    4.41    3.19     42.7     1.4    23.8    11.5    4.49    1.99     2.7    1.8    1.5    0.60    0.47
 1997 228    53    51    40.5     0.5    37.4    4.45    3.17     45.6     1.6    25.1    12.3    4.49    1.98     2.7    1.8    2.8    0.65    0.50
 1997 229    54    52    42.7     0.7    39.1    4.46    3.15     47.9     1.7    26.1    12.9    4.47    1.97     2.7    1.8    2.3    0.69    0.54
 1997 230    55    53    45.6     1.0    41.2    4.50    3.13     50.9     1.8    27.4    13.8    4.47    1.97     2.6    1.8    2.9    0.74    0.57
 1997 231    56    54    48.4     1.3    43.3    4.46    3.10     54.0     2.0    28.7    14.6    4.44    1.95     2.6    1.8    2.9    0.79    0.60
 1997 232    57    55    51.4     1.7    45.4    4.44    3.08     57.2     2.1    30.0    15.4    4.42    1.94     2.6    1.8    3.1    0.85    0.64
 1997 233    58    56    54.4     2.1    47.5    4.48    3.04     60.6     2.2    31.2    16.3    4.39    1.91     2.6    1.8    3.1    0.91    0.68
 1997 234    59    57    57.1     2.6    49.3    4.51    3.02     63.3     2.3    32.2    17.0    4.37    1.90     2.6    1.8    2.7    0.97    0.72
 1997 235    60    58    58.0     3.1    49.1    4.51    2.98     64.1     2.5    32.1    16.9    4.33    1.87     2.6    1.7    0.8    1.04    0.76
 1997 236    61    59    60.8     3.8    50.6    4.50    2.96     66.8     2.7    33.0    17.6    4.32    1.86     2.6    1.7    2.7    1.12    0.80
 1997 237    62    60    64.0     4.5    52.6    4.51    2.94     70.0     3.0    34.1    18.5    4.31    1.85     2.5    1.7    3.2    1.19    0.84
 1997 238    63    61    66.7     5.3    53.9    4.50    2.92     72.8     3.2    34.8    19.0    4.29    1.84     2.5    1.7    2.7    1.27    0.88
 1997 239    64    62    69.7     6.2    55.3    4.51    2.90     75.6     3.5    35.6    19.6    4.27    1.83     2.5    1.7    2.8    1.35    0.92
 1997 240    65    63    71.2     7.2    55.2    4.50    2.86     77.0     3.6    35.5    19.7    4.23    1.81     2.5    1.7    1.4    1.43    0.96
 1997 241    66    64    74.5     8.3    56.8    4.49    2.85     80.2     3.9    36.4    20.4    4.22    1.80     2.5    1.7    3.2    1.51    1.00
 1997 242    67    65    77.7     9.5    58.2    4.48    2.83     83.5     4.1    37.1    21.0    4.21    1.79     2.5    1.7    3.2    1.60    1.05
 1997 243    68    66    80.9    10.8    59.5    4.48    2.81     86.7     4.2    37.8    21.7    4.19    1.78     2.4    1.7    3.3    1.69    1.09
 1997 244    69    67    83.9    12.2    60.5    4.49    2.79     89.6     4.5    38.3    22.2    4.17    1.77     2.4    1.6    2.9    1.79    1.13
 1997 245    70    68    86.8    13.7    61.2    4.49    2.77     92.5     4.7    38.6    22.6    4.15    1.76     2.4    1.6    2.9    1.88    1.18
 1997 246    71    69    88.4    15.4    60.8    4.47    2.73     93.9     4.9    38.4    22.4    4.11    1.74     2.4    1.6    1.5    1.98    1.22
 1997 247    72    70    90.2    17.2    60.4    4.47    2.70     95.5     5.1    38.1    22.3    4.08    1.71     2.3    1.6    1.6    2.06    1.27
 1997 248    73    71    93.1    19.1    60.8    4.48    2.68     98.2     5.4    38.2    22.6    4.05    1.70     2.3    1.6    2.7    2.15    1.31
 1997 249    74    72    95.1    21.0    60.5    4.47    2.64    100.0     5.8    38.0    22.5    4.02    1.68     2.3    1.5    1.8    2.25    1.35
 1997 250    75    73    97.7    23.1    60.5    4.46    2.62    102.5     5.9    37.9    22.6    3.99    1.66     2.3    1.5    2.5    2.34    1.39
 1997 251    76    74   100.7    25.4    60.7    4.47    2.59    105.5     6.1    37.9    22.8    3.96    1.65     2.3    1.5    3.0    2.43    1.43
 1997 252    77    75   102.4    27.7    60.3    4.47    2.56    107.1     6.2    37.6    22.7    3.92    1.63     2.2    1.5    1.6    2.51    1.47
 1997 253    78    76   104.7    30.2    60.0    4.47    2.53    109.4     6.3    37.4    22.7    3.89    1.61     2.2    1.5    2.2    2.60    1.51
 1997 254    79    77   106.9    32.8    59.8    4.46    2.50    111.5     6.4    37.1    22.7    3.85    1.59     2.1    1.4    2.2    2.69    1.55
 1997 255    80    78   109.7    35.5    59.7    4.46    2.48    114.3     6.5    37.0    22.7    3.83    1.58     2.1    1.4    2.8    2.78    1.59
 1997 256    81    79   112.5    38.3    59.6    4.47    2.45    117.1     6.6    36.8    22.8    3.80    1.56     2.1    1.4    2.8    2.86    1.63
 1997 257    82    80   114.8    41.2    59.4    4.46    2.43    119.4     6.6    36.6    22.8    3.76    1.55     2.0    1.4    2.3    2.94    1.66
 1997 258    83    81   117.6    44.3    59.3    4.47    2.40    122.2     6.7    36.4    22.9    3.73    1.53     2.0    1.4    2.8    3.04    1.70
 1997 259    84    82   120.2    47.3    59.1    4.46    2.38    124.8     6.7    36.2    22.9    3.70    1.52     1.9    1.4    2.7    3.12    1.74
 1997 260    85    83   122.9    50.4    59.0    4.46    2.35    127.4     6.9    36.0    23.0    3.67    1.50     1.9    1.3    2.6    3.20    1.77
 1997 261    86    84   123.9    53.1    57.6    4.51    2.28    128.3     7.0    35.2    22.4    3.60    1.45     1.9    1.3    0.9    3.28    1.81
 1997 262    87    85   126.2    57.0    56.4    4.57    2.22    130.6     7.0    34.5    21.9    3.53    1.40     1.8    1.3    2.3    3.36    1.84
 1997 263    88    86   128.3    60.6    55.2    4.62    2.17    132.6     7.1    33.8    21.4    3.46    1.36     1.8    1.3    2.1    3.44    1.87
 1997 264    89    87   131.1    63.9    54.7    4.64    2.13    135.4     7.1    33.5    21.3    3.42    1.34     1.7    1.2    2.8    3.53    1.91
 1997 265    90    88   133.7    67.2    54.2    4.67    2.10    137.9     7.3    33.1    21.1    3.38    1.32     1.7    1.2    2.5    3.63    1.94
 1997 266    91    89   134.5    69.4    53.1    4.70    2.05    138.7     7.4    32.5    20.6    3.33    1.28     1.7    1.2    0.7    3.73    1.97
 1997 267    92    90   137.0    73.1    52.2    4.73    2.01    141.1     7.5    31.9    20.3    3.27    1.25     1.6    1.2    2.4    3.82    2.00
 1997 268    93    91   138.2    75.6    51.2    4.76    1.96    142.1     7.7    31.3    19.9    3.22    1.22     1.6    1.2    1.0    3.91    2.03
 1997 269    94    92   140.5    78.9    50.4    4.79    1.92    144.3     7.8    30.8    19.5    3.17    1.19     1.6    1.1    2.2    3.97    2.06
 1997 270    95    93   143.3    81.9    50.1    4.81    1.91    147.1     7.8    30.6    19.6    3.14    1.18     1.6    1.1    2.8    4.05    2.08
 1997 271    96    94   145.9    84.7    49.9    4.81    1.89    149.8     7.8    30.4    19.6    3.12    1.17     1.5    1.1    2.7    4.13    2.11
 1997 272    97    95   148.5    87.5    49.7    4.83    1.87    152.5     7.9    30.2    19.6    3.09    1.17     1.5    1.1    2.7    4.19    2.14
 1997 273    98    96   151.0    90.3    49.5    4.83    1.86    154.9     7.9    29.9    19.5    3.07    1.16     1.5    1.1    2.4    4.24    2.17
 1997 274    99    97   153.5    92.9    49.4    4.85    1.84    157.3     8.0    29.8    19.6    3.05    1.15     1.5    1.1    2.5    4.29    2.19
 1997 275   100    98   156.0    95.4    49.4    4.86    1.83    159.8     8.2    29.6    19.7    3.03    1.15     1.5    1.1    2.4    4.34    2.22
 1997 276   101    99   157.9    97.7    49.1    4.85    1.81    161.6     8.3    29.4    19.7    3.01    1.14     1.5    1.1    1.8    4.39    2.24
 1997 277   102   100   158.2    99.0    48.3    4.82    1.75    161.6     8.6    29.0    19.4    2.94    1.09     1.4    1.0    0.0    4.43    2.27

