*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 187    40    38    14.6     0.0    14.5    0.00    3.44     17.2     0.1    10.5     4.1    4.57    2.11     2.8    1.8    1.5    0.14    0.19
 1997 188    41    39    16.2     0.0    16.1    0.00    3.43     19.0     0.1    11.5     4.6    4.58    2.11     2.8    1.8    1.7    0.16    0.21
 1997 189    42    40    17.8     0.0    17.7    0.00    3.41     21.1     0.2    12.6     5.1    4.57    2.10     2.8    1.8    1.8    0.17    0.22
 1997 190    43    41    19.8     0.0    19.6    0.00    3.40     23.2     0.3    13.9     5.8    4.59    2.10     2.8    1.8    2.1    0.19    0.24
 1997 191    44    42    21.4     0.0    21.2    0.00    3.40     24.9     0.5    14.9     6.3    4.60    2.10     2.8    1.8    1.7    0.21    0.26
 1997 192    45    43    23.2     0.0    22.8    0.00    3.39     26.7     0.7    16.0     6.9    4.61    2.10     2.8    1.8    1.8    0.24    0.28
 1997 193    46    44    25.3     0.0    24.8    0.00    3.36     29.1     0.9    17.3     7.6    4.59    2.09     2.8    1.8    2.2    0.26    0.30
 1997 194    47    45    27.7     0.0    27.0    0.00    3.33     31.7     1.1    18.6     8.3    4.58    2.07     2.8    1.8    2.4    0.32    0.33
 1997 195    48    46    30.1     0.0    29.2    0.00    3.32     34.4     1.2    20.1     9.1    4.59    2.07     2.7    1.8    2.6    0.39    0.36
 1997 196    49    47    31.9     0.0    30.7    4.34    3.30     36.4     1.2    21.0     9.7    4.58    2.06     2.7    1.8    1.9    0.46    0.38
 1997 197    50    48    33.2     0.1    31.7    4.13    3.28     37.8     1.2    21.6    10.0    4.56    2.04     2.7    1.8    1.4    0.49    0.41
 1997 198    51    49    35.7     0.1    33.8    4.27    3.26     40.5     1.2    23.0    10.8    4.56    2.03     2.7    1.8    2.7    0.53    0.43
 1997 199    52    50    38.2     0.2    35.8    4.27    3.24     43.3     1.2    24.2    11.6    4.54    2.02     2.7    1.8    2.7    0.57    0.46
 1997 200    53    51    40.8     0.4    37.9    4.32    3.20     46.3     1.2    25.5    12.4    4.52    2.00     2.7    1.8    2.8    0.62    0.49
 1997 201    54    52    43.0     0.6    39.4    4.28    3.18     48.6     1.3    26.4    12.9    4.50    1.99     2.7    1.8    2.3    0.66    0.52
 1997 202    55    53    44.2     0.9    39.8    4.27    3.14     49.8     1.3    26.7    13.1    4.46    1.96     2.7    1.8    1.2    0.71    0.55
 1997 203    56    54    47.0     1.2    41.9    4.30    3.10     53.1     1.4    28.0    14.0    4.43    1.94     2.6    1.8    3.0    0.76    0.59
 1997 204    57    55    49.9     1.6    43.9    4.35    3.08     56.1     1.5    29.2    14.8    4.42    1.93     2.6    1.8    3.0    0.81    0.62
 1997 205    58    56    52.7     2.0    45.7    4.38    3.07     59.0     1.6    30.2    15.5    4.40    1.92     2.6    1.8    2.9    0.86    0.66
 1997 206    59    57    55.9     2.5    47.9    4.37    3.05     62.3     1.8    31.5    16.4    4.39    1.91     2.6    1.8    3.2    0.92    0.69
 1997 207    60    58    59.1     3.1    50.1    4.40    3.03     65.6     2.0    32.8    17.3    4.38    1.91     2.6    1.7    3.3    0.98    0.73
 1997 208    61    59    62.2     3.8    52.0    4.43    3.01     68.7     2.2    33.9    18.1    4.37    1.90     2.6    1.7    3.1    1.04    0.77
 1997 209    62    60    65.5     4.5    53.9    4.45    2.98     72.0     2.4    35.0    18.9    4.35    1.89     2.5    1.7    3.3    1.10    0.81
 1997 210    63    61    67.7     5.3    54.7    4.46    2.95     74.0     2.6    35.4    19.3    4.32    1.86     2.5    1.7    2.0    1.18    0.86
 1997 211    64    62    69.2     6.2    54.7    4.44    2.91     75.4     2.9    35.4    19.3    4.28    1.84     2.5    1.7    1.3    1.25    0.90
 1997 212    65    63    70.3     7.2    54.2    4.40    2.87     76.2     3.2    35.1    19.1    4.23    1.81     2.5    1.7    0.8    1.33    0.93
 1997 213    66    64    72.1     8.3    54.3    4.38    2.84     78.0     3.3    35.1    19.2    4.20    1.79     2.5    1.6    1.7    1.40    0.97
