*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 175    28  13.00  29.00  21.00  3.227  0.402  2.987  3.026  0.402  2.545  0.000  0.080  127.17   59.68    3.93   54.13    0.00    1.63   0.816   0.541   0.437   0.284   0.189   0.278
 1997 176    29  16.50  31.00  23.50  4.228  0.585  3.876  3.991  0.585  3.345  0.000  0.061  131.40   63.67    4.51   57.47    0.00    1.69   1.021   0.706   0.589   0.386   0.259   0.385
 1997 177    30  24.10  31.50  23.00  6.151  0.958  5.569  2.149  0.958  1.144  0.000  0.047  137.55   65.82    5.47   58.62    0.00    1.74   0.972   0.116   0.035   0.012   0.005   0.005
 1997 178    31  21.80  32.00  23.00  5.567  0.951  4.984  2.026  0.951  1.038  0.000  0.036  143.11   67.85    6.42   59.65    0.00    1.77   0.869   0.114   0.034   0.012   0.005   0.005
 1997 179    32  13.10  32.00  21.20  3.289  0.628  2.899  3.176  0.628  2.520  0.000  0.028  146.40   71.02    7.05   62.17    0.00    1.80   0.717   0.569   0.476   0.292   0.190   0.276
 1997 180    33  23.00  30.70  23.00  5.859  1.238  5.083  5.703  1.238  4.375  0.000  0.091  152.26   76.73    8.29   66.55    0.00    1.89   1.317   0.975   0.815   0.491   0.316   0.459
 1997 181    34  16.40  29.50  23.40  4.100  0.935  3.507  4.016  0.935  3.012  0.000  0.070  156.36   80.74    9.22   69.56    0.00    1.96   0.922   0.666   0.547   0.339   0.220   0.318
 1997 182    35  19.30  29.50  25.00  4.905  1.231  4.114  4.845  1.231  3.521  0.000  0.094  161.27   85.59   10.45   73.08    0.00    2.05   1.092   0.757   0.622   0.400   0.264   0.386
 1997 183    36   8.80  29.50  23.50  2.195  0.606  1.800  2.187  0.606  1.509  0.000  0.072  163.46   87.77   11.06   74.59    0.00    2.13   0.448   0.321   0.271   0.177   0.119   0.174
 1997 184    37   9.50  27.50  20.50  2.262  0.666  1.815  2.261  0.666  1.540  0.000  0.055  165.72   90.04   11.72   76.13    0.00    2.18   0.446   0.327   0.279   0.183   0.123   0.182
 1997 185    38   9.70  29.00  21.50  2.359  0.728  1.855  2.358  0.728  1.587  0.000  0.042  168.08   92.39   12.45   77.72    0.00    2.22   0.448   0.337   0.290   0.192   0.129   0.191
 1997 186    39  16.60  29.70  23.50  4.116  1.399  3.161  2.551  1.399  1.120  0.000  0.032  172.20   94.94   13.85   78.84    0.00    2.26   0.951   0.113   0.034   0.012   0.005   0.005
 1997 187    40  15.70  29.80  22.70  3.870  1.420  2.882  2.582  1.420  1.071  0.000  0.091  176.07   97.53   15.27   79.91    0.00    2.35   0.906   0.110   0.034   0.012   0.005   0.005
 1997 188    41  16.40  29.00  22.50  3.986  1.567  2.874  2.602  1.567  0.965  0.000  0.070  180.05  100.13   16.84   80.87    0.00    2.42   0.804   0.107   0.033   0.012   0.005   0.005
 1997 189    42  21.50  30.50  22.50  5.290  2.217  3.685  3.138  2.217  0.867  0.000  0.054  185.34  103.27   19.05   81.74    0.00    2.47   0.710   0.104   0.033   0.012   0.005   0.005
 1997 190    43  18.90  31.50  22.50  4.684  2.067  3.161  2.877  2.067  0.768  0.000  0.041  190.03  106.14   21.12   82.51    0.00    2.51   0.616   0.099   0.032   0.011   0.005   0.005
 1997 191    44  11.40  27.50  23.30  2.714  1.170  1.756  2.711  1.170  1.510  0.000  0.032  192.74  108.85   22.29   84.02    0.00    2.54   0.427   0.340   0.265   0.176   0.120   0.182
 1997 192    45  11.60  31.00  22.00  2.886  1.308  1.793  2.883  1.308  1.482  0.000  0.092  195.63  111.74   23.60   85.50    0.00    2.64   0.481   0.330   0.246   0.159   0.106   0.161
 1997 193    46  19.80  27.50  23.00  4.753  2.243  2.853  4.748  2.243  2.434  0.000  0.070  200.38  116.48   25.84   87.93    0.00    2.71   0.781   0.527   0.413   0.271   0.176   0.267
 1997 194    47  21.50  31.00  23.50  5.365  2.614  3.128  5.360  2.614  2.651  0.000  0.095  205.75  121.84   28.46   90.59    0.00    2.80   0.821   0.563   0.464   0.303   0.198   0.302
 1997 195    48  18.10  32.00  24.50  4.578  2.302  2.587  4.573  2.302  2.198  0.000  0.073  210.32  126.42   30.76   92.78    0.00    2.87   0.680   0.497   0.395   0.242   0.154   0.231
 1997 196    49  10.20  29.50  22.00  2.477  1.285  1.355  2.474  1.285  1.093  0.000  0.096  212.80  128.89   32.04   93.88    0.00    2.97   0.330   0.249   0.197   0.124   0.086   0.109
 1997 197    50   7.10  25.50  21.00  1.637  0.868  0.874  1.634  0.868  0.681  0.000  0.085  214.44  130.53   32.91   94.56    0.00    3.05   0.197   0.142   0.122   0.084   0.062   0.074
 1997 198    51  15.50  29.50  22.50  3.768  2.028  1.979  3.763  2.028  1.641  0.000  0.094  218.21  134.29   34.94   96.20    0.00    3.15   0.477   0.342   0.293   0.199   0.143   0.187
 1997 199    52  16.20  28.50  22.00  3.868  2.133  1.973  3.863  2.133  1.658  0.000  0.072  222.08  138.15   37.07   97.86    0.00    3.22   0.479   0.344   0.297   0.201   0.142   0.195
 1997 200    53  17.40  30.30  22.20  4.233  2.386  2.101  4.227  2.386  1.786  0.000  0.055  226.31  142.38   39.46   99.64    0.00    3.27   0.506   0.373   0.323   0.218   0.151   0.215
 1997 201    54  12.00  28.50  20.60  2.824  1.626  1.362  2.820  1.626  1.151  0.000  0.042  229.13  145.20   41.09  100.80    0.00    3.32   0.319   0.238   0.210   0.142   0.099   0.144
 1997 202    55   7.10  29.50  20.60  1.688  0.987  0.797  1.685  0.987  0.633  0.000  0.065  230.82  146.88   42.07  101.43    0.00    3.38   0.177   0.129   0.115   0.078   0.054   0.080
 1997 203    56  23.10  30.50  22.00  5.606  3.310  2.612  5.598  3.310  2.201  0.000  0.087  236.43  152.48   45.38  103.63    0.00    3.47   0.619   0.442   0.398   0.274   0.188   0.279
 1997 204    57  16.80  32.00  22.50  4.149  2.495  1.882  4.143  2.495  1.582  0.000  0.067  240.57  156.62   47.88  105.21    0.00    3.54   0.485   0.301   0.273   0.191   0.133   0.199
 1997 205    58  15.90  31.70  22.30  3.919  2.397  1.733  3.914  2.397  1.419  0.000  0.098  244.49  160.54   50.28  106.63    0.00    3.63   0.480   0.260   0.229   0.164   0.114   0.172
 1997 206    59  20.80  30.00  21.50  5.002  3.104  2.160  4.994  3.104  1.804  0.000  0.086  249.50  165.53   53.38  108.43    0.00    3.72   0.595   0.333   0.291   0.212   0.148   0.226
