*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 159    12  16.20  33.60  23.90  4.238  0.053  4.208  0.905  0.053  0.780  0.000  0.072   59.87   10.35    0.09    9.77    0.00    0.49   0.698   0.047   0.014   0.011   0.005   0.004
 1997 160    13  23.00  34.00  23.00  5.986  0.089  5.936  0.858  0.089  0.714  0.000  0.055   65.85   11.21    0.18   10.49    0.00    0.54   0.633   0.046   0.014   0.011   0.005   0.004
 1997 161    14  16.60  32.40  23.50  4.252  0.082  4.206  0.777  0.082  0.652  0.000  0.042   70.11   11.99    0.27   11.14    0.00    0.59   0.571   0.046   0.014   0.011   0.005   0.004
 1997 162    15   8.50  27.20  24.80  2.074  0.052  2.045  0.955  0.052  0.872  0.000  0.032   72.18   12.94    0.32   12.01    0.00    0.62   0.790   0.046   0.014   0.011   0.005   0.004
 1997 163    16  20.80  30.50  21.00  5.222  0.160  5.132  1.324  0.160  1.073  0.000  0.091   77.40   14.27    0.48   13.08    0.00    0.71   0.992   0.046   0.014   0.011   0.005   0.004
 1997 164    17  10.70  31.00  23.50  2.737  0.093  2.684  2.452  0.093  2.289  0.000  0.070   80.14   16.72    0.57   15.37    0.00    0.78   0.803   0.458   0.278   0.277   0.195   0.278
 1997 165    18  15.80  31.00  21.60  4.048  0.158  3.958  3.636  0.158  3.385  0.000  0.093   84.19   20.36    0.73   18.76    0.00    0.87   1.107   0.822   0.507   0.350   0.247   0.353
 1997 166    19  14.40  30.00  22.50  3.648  0.162  3.556  3.287  0.162  3.042  0.000  0.083   87.83   23.64    0.89   21.80    0.00    0.96   0.936   0.701   0.515   0.327   0.232   0.331
 1997 167    20  16.90  30.60  22.90  4.300  0.213  4.177  3.884  0.213  3.607  0.000  0.064   92.13   27.53    1.10   25.41    0.00    1.02   1.127   0.860   0.621   0.375   0.256   0.367
 1997 168    21  21.00  30.20  20.60  5.284  0.288  5.118  4.786  0.288  4.405  0.000  0.093   97.42   32.31    1.39   29.81    0.00    1.11   1.366   1.024   0.765   0.475   0.317   0.459
 1997 169    22  22.70  32.40  21.50  5.834  0.341  5.637  5.295  0.341  4.883  0.000  0.071  103.25   37.61    1.73   34.69    0.00    1.18   1.427   1.092   0.869   0.559   0.379   0.557
 1997 170    23  16.90  32.50  20.60  4.294  0.289  4.127  3.915  0.289  3.572  0.000  0.055  107.55   41.52    2.02   38.27    0.00    1.24   1.068   0.833   0.630   0.395   0.263   0.383
 1997 171    24  23.00  30.50  21.00  5.814  0.444  5.556  5.327  0.444  4.790  0.000  0.092  113.36   46.85    2.46   43.06    0.00    1.33   1.467   1.097   0.841   0.526   0.349   0.509
 1997 172    25  22.70  32.50  23.50  5.909  0.512  5.610  5.442  0.512  4.859  0.000  0.071  119.27   52.29    2.98   47.91    0.00    1.40   1.405   1.081   0.875   0.562   0.377   0.559
 1997 173    26   8.50  32.00  24.50  2.203  0.218  2.075  2.041  0.218  1.769  0.000  0.054  121.47   54.33    3.19   49.68    0.00    1.46   0.547   0.384   0.308   0.199   0.133   0.198
 1997 174    27  10.40  25.50  20.30  2.473  0.274  2.310  2.304  0.274  1.938  0.000  0.092  123.94   56.64    3.47   51.62    0.00    1.55   0.659   0.413   0.322   0.206   0.136   0.201
 1997 175    28  13.00  29.00  21.00  3.227  0.392  2.994  3.023  0.392  2.551  0.000  0.080  127.17   59.66    3.86   54.17    0.00    1.63   0.818   0.542   0.438   0.285   0.189   0.279
 1997 176    29  16.50  31.00  23.50  4.229  0.571  3.886  3.986  0.571  3.353  0.000  0.061  131.40   63.65    4.43   57.53    0.00    1.69   1.023   0.707   0.590   0.387   0.260   0.386
 1997 177    30  24.10  31.50  23.00  6.152  0.939  5.583  2.129  0.939  1.143  0.000  0.047  137.55   65.78    5.37   58.67    0.00    1.74   0.971   0.116   0.035   0.012   0.005   0.005
 1997 178    31  21.80  32.00  23.00  5.567  0.958  4.979  2.033  0.958  1.038  0.000  0.036  143.12   67.81    6.33   59.71    0.00    1.77   0.869   0.114   0.034   0.012   0.005   0.005
 1997 179    32  13.10  32.00  21.20  3.288  0.634  2.895  3.178  0.634  2.516  0.000  0.028  146.41   70.99    6.96   62.22    0.00    1.80   0.716   0.568   0.475   0.292   0.189   0.276
 1997 180    33  23.00  30.70  23.00  5.858  1.248  5.074  5.706  1.248  4.367  0.000  0.091  152.26   76.69    8.21   66.59    0.00    1.89   1.315   0.974   0.814   0.490   0.316   0.458
 1997 181    34  16.40  29.50  23.40  4.099  0.953  3.493  4.022  0.953  2.999  0.000  0.070  156.36   80.71    9.16   69.59    0.00    1.96   0.918   0.663   0.545   0.338   0.219   0.316
 1997 182    35  19.30  29.50  25.00  4.903  1.262  4.088  4.854  1.262  3.498  0.000  0.094  161.27   85.57   10.43   73.09    0.00    2.05   1.085   0.751   0.618   0.398   0.263   0.384
 1997 183    36   8.80  29.50  23.50  2.194  0.625  1.783  2.192  0.625  1.495  0.000  0.072  163.46   87.76   11.05   74.58    0.00    2.13   0.443   0.317   0.268   0.175   0.118   0.173
 1997 184    37   9.50  27.50  20.50  2.261  0.681  1.797  2.259  0.681  1.523  0.000  0.055  165.72   90.02   11.73   76.11    0.00    2.18   0.441   0.323   0.276   0.181   0.122   0.180
 1997 185    38   9.70  29.00  21.50  2.358  0.745  1.834  2.356  0.745  1.569  0.000  0.042  168.08   92.37   12.48   77.67    0.00    2.22   0.442   0.333   0.286   0.190   0.128   0.189
 1997 186    39  16.60  29.70  23.50  4.113  1.444  3.119  2.596  1.444  1.119  0.000  0.032  172.19   94.97   13.92   78.79    0.00    2.26   0.951   0.113   0.034   0.012   0.005   0.005
 1997 187    40  15.70  29.80  22.70  3.867  1.467  2.837  2.627  1.467  1.069  0.000  0.091  176.06   97.60   15.39   79.86    0.00    2.35   0.904   0.109   0.034   0.012   0.005   0.005
 1997 188    41  16.40  29.00  22.50  3.983  1.621  2.820  2.654  1.621  0.963  0.000  0.070  180.04  100.25   17.01   80.82    0.00    2.42   0.802   0.106   0.033   0.012   0.005   0.005
 1997 189    42  21.50  30.50  22.50  5.286  2.299  3.600  3.216  2.299  0.864  0.000  0.054  185.33  103.47   19.31   81.69    0.00    2.47   0.707   0.103   0.033   0.012   0.005   0.005
 1997 190    43  18.90  31.50  22.50  4.681  2.137  3.087  2.940  2.137  0.763  0.000  0.041  190.01  106.41   21.45   82.45    0.00    2.51   0.611   0.099   0.032   0.011   0.005   0.005
 1997 191    44  11.40  27.50  23.30  2.712  1.213  1.703  2.709  1.213  1.464  0.000  0.032  192.72  109.12   22.66   83.92    0.00    2.54   0.414   0.328   0.256   0.171   0.117   0.178
 1997 192    45  11.60  31.00  22.00  2.881  1.355  1.735  2.878  1.355  1.432  0.000  0.092  195.60  112.00   24.01   85.35    0.00    2.64   0.466   0.318   0.237   0.154   0.102   0.156
 1997 193    46  19.80  27.50  23.00  4.746  2.309  2.770  4.740  2.309  2.361  0.000  0.070  200.35  116.74   26.32   87.71    0.00    2.71   0.759   0.510   0.400   0.263   0.169   0.259
 1997 194    47  21.50  31.00  23.50  5.357  2.700  3.020  5.351  2.700  2.556  0.000  0.095  205.71  122.09   29.02   90.26    0.00    2.80   0.793   0.542   0.448   0.293   0.189   0.291
 1997 195    48  18.10  32.00  24.50  4.571  2.387  2.483  4.565  2.387  2.106  0.000  0.073  210.28  126.65   31.41   92.37    0.00    2.87   0.652   0.477   0.378   0.232   0.146   0.222
 1997 196    49  10.20  29.50  22.00  2.472  1.336  1.290  2.469  1.336  1.037  0.000  0.096  212.75  129.12   32.75   93.41    0.00    2.97   0.313   0.236   0.187   0.117   0.081   0.103
 1997 197    50   7.10  25.50  21.00  1.633  0.905  0.826  1.630  0.905  0.639  0.000  0.085  214.38  130.75   33.65   94.05    0.00    3.06   0.185   0.134   0.114   0.079   0.058   0.070
 1997 198    51  15.50  29.50  22.50  3.759  2.123  1.860  3.753  2.123  1.537  0.000  0.094  218.14  134.51   35.77   95.58    0.00    3.15   0.447   0.320   0.274   0.187   0.134   0.175
 1997 199    52  16.20  28.50  22.00  3.859  2.241  1.839  3.853  2.241  1.540  0.000  0.072  222.00  138.36   38.02   97.12    0.00    3.22   0.446   0.319   0.276   0.187   0.132   0.181
 1997 200    53  17.40  30.30  22.20  4.222  2.518  1.938  4.216  2.518  1.643  0.000  0.055  226.22  142.58   40.53   98.77    0.00    3.28   0.467   0.343   0.297   0.200   0.139   0.198
 1997 201    54  12.00  28.50  20.60  2.817  1.724  1.243  2.812  1.724  1.047  0.000  0.042  229.04  145.39   42.26   99.81    0.00    3.32   0.291   0.216   0.190   0.129   0.090   0.130
 1997 202    55   7.10  29.50  20.60  1.683  1.051  0.719  1.681  1.051  0.564  0.000  0.065  230.72  147.07   43.31  100.38    0.00    3.38   0.159   0.114   0.102   0.070   0.048   0.071
 1997 203    56  23.10  30.50  22.00  5.590  3.540  2.331  5.582  3.540  1.954  0.000  0.087  236.31  152.65   46.85  102.33    0.00    3.47   0.553   0.391   0.352   0.243   0.167   0.248
 1997 204    57  16.80  32.00  22.50  4.138  2.678  1.660  4.131  2.678  1.386  0.000  0.067  240.45  156.78   49.53  103.72    0.00    3.54   0.428   0.263   0.238   0.168   0.116   0.174
 1997 205    58  15.90  31.70  22.30  3.905  2.581  1.506  3.899  2.581  1.220  0.000  0.099  244.35  160.68   52.11  104.94    0.00    3.64   0.414   0.223   0.196   0.141   0.098   0.148
 1997 206    59  20.80  30.00  21.50  4.984  3.356  1.851  4.975  3.356  1.533  0.000  0.086  249.34  165.66   55.46  106.47    0.00    3.72   0.508   0.282   0.246   0.180   0.125   0.192
 1997 207    60  20.70  32.00  23.00  5.112  3.918  1.829  5.103  3.918  1.120  0.000  0.066  254.45  170.76   59.38  107.59    0.00    3.79   0.981   0.091   0.028   0.011   0.005   0.005
 1997 208    61  18.60  32.50  23.50  4.625  3.595  1.590  4.618  3.595  0.972  0.000  0.050  259.07  175.38   62.98  108.56    0.00    3.84   0.841   0.084   0.027   0.011   0.005   0.005
 1997 209    62  21.20  32.00  23.00  5.218  4.321  1.726  5.200  4.321  0.841  0.000  0.038  264.29  180.58   67.30  109.40    0.00    3.88   0.718   0.078   0.026   0.010   0.005   0.005
 1997 210    63  12.60  31.00  23.50  3.076  2.215  0.979  3.071  2.215  0.826  0.000  0.029  267.37  183.65   69.51  110.23    0.00    3.91   0.728   0.061   0.021   0.009   0.004   0.004
 1997 211    64   9.80  29.50  22.00  2.335  1.701  0.721  2.331  1.701  0.539  0.000  0.091  269.70  185.98   71.21  110.77    0.00    4.00   0.198   0.103   0.072   0.058   0.041   0.067
 1997 212    65   7.80  27.00  21.50  1.804  1.324  0.546  1.800  1.324  0.407  0.000  0.069  271.51  187.78   72.54  111.17    0.00    4.07   0.144   0.091   0.054   0.041   0.029   0.048
 1997 213    66  10.80  27.60  22.60  2.532  1.868  0.755  2.527  1.868  0.594  0.000  0.065  274.04  190.31   74.41  111.77    0.00    4.13   0.208   0.132   0.081   0.060   0.043   0.070
 1997 214    67  21.20  31.00  22.60  5.153  3.830  1.507  5.144  3.830  1.216  0.000  0.099  279.19  195.45   78.24  112.98    0.00    4.23   0.411   0.272   0.171   0.124   0.089   0.148
 1997 215    68  18.60  33.40  22.30  4.621  3.471  1.311  4.614  3.471  1.067  0.000  0.075  283.81  200.06   81.71  114.05    0.00    4.31   0.926   0.101   0.023   0.009   0.004   0.004
 1997 216    69  11.80  29.50  24.20  2.849  2.160  0.785  2.844  2.160  0.627  0.000  0.057  286.66  202.91   83.87  114.68    0.00    4.36   0.538   0.064   0.014   0.006   0.003   0.003
 1997 217    70  13.50  30.00  22.50  3.236  2.469  0.874  3.230  2.469  0.718  0.000  0.043  289.90  206.14   86.34  115.40    0.00    4.41   0.222   0.167   0.126   0.074   0.047   0.081
 1997 218    71   7.50  28.00  21.00  1.743  1.338  0.462  1.740  1.338  0.342  0.000  0.060  291.64  207.88   87.67  115.74    0.00    4.47   0.106   0.077   0.065   0.036   0.022   0.036
 1997 219    72  12.60  30.00  22.50  3.024  2.326  0.796  3.018  2.326  0.603  0.000  0.089  294.67  210.90   90.00  116.34    0.00    4.56   0.183   0.131   0.111   0.066   0.045   0.067
 1997 220    73  21.90  30.40  21.10  5.223  4.036  1.354  5.213  4.036  1.110  0.000  0.068  299.89  216.11   94.04  117.45    0.00    4.62   0.332   0.236   0.202   0.127   0.086   0.128
 1997 221    74  14.10  31.40  23.00  3.443  2.677  0.874  3.436  2.677  0.708  0.000  0.051  303.33  219.55   96.71  118.16    0.00    4.67   0.602   0.071   0.022   0.007   0.003   0.003
 1997 222    75  21.00  30.00  23.00  5.049  3.955  1.261  5.040  3.955  1.046  0.000  0.039  308.38  224.59  100.67  119.20    0.00    4.71   0.881   0.110   0.034   0.011   0.005   0.005
 1997 223    76  21.40  30.80  22.50  5.167  4.221  1.266  5.158  4.221  0.907  0.000  0.029  313.55  229.74  104.89  120.11    0.00    4.74   0.751   0.103   0.033   0.011   0.005   0.005
 1997 224    77  16.70  30.00  22.40  3.993  3.187  0.960  3.986  3.187  0.776  0.000  0.022  317.54  233.73  108.08  120.89    0.00    4.76   0.628   0.096   0.031   0.011   0.005   0.005
 1997 225    78  17.50  30.50  23.60  4.241  3.545  1.004  4.233  3.545  0.671  0.000  0.017  321.78  237.96  111.62  121.56    0.00    4.78   0.531   0.090   0.030   0.011   0.005   0.005
 1997 226    79  16.90  31.50  23.50  4.134  3.527  0.965  4.127  3.527  0.587  0.000  0.013  325.92  242.09  115.15  122.15    0.00    4.79   0.454   0.084   0.029   0.011   0.005   0.005
 1997 227    80   8.70  27.40  23.40  2.035  1.625  0.468  2.031  1.625  0.396  0.000  0.010  327.95  244.12  116.77  122.54    0.00    4.80   0.329   0.042   0.015   0.006   0.002   0.002
 1997 228    81  18.30  34.00  21.20  4.526  3.616  1.043  4.518  3.616  0.794  0.000  0.108  332.48  248.64  120.39  123.34    0.00    4.91   0.688   0.065   0.024   0.009   0.004   0.004
 1997 229    82  13.20  30.50  23.50  3.197  2.562  0.728  3.191  2.562  0.548  0.000  0.081  335.67  251.83  122.95  123.88    0.00    4.99   0.469   0.047   0.018   0.007   0.003   0.003
 1997 230    83  17.50  34.00  22.50  4.364  3.502  0.988  4.356  3.502  0.794  0.000  0.061  340.04  256.19  126.45  124.68    0.00    5.05   0.676   0.079   0.025   0.008   0.003   0.003
 1997 231    84  20.40  30.50  21.50  4.879  3.924  1.094  4.870  3.924  0.831  0.000  0.115  344.92  261.06  130.38  125.51    0.00    5.17   0.253   0.189   0.155   0.089   0.056   0.088
 1997 232    85  19.40  29.50  22.50  4.621  3.725  1.027  4.612  3.725  0.801  0.000  0.086  349.54  265.67  134.10  126.31    0.00    5.26   0.238   0.174   0.147   0.090   0.061   0.091
 1997 233    86  26.20  33.50  23.80  6.565  5.305  1.447  6.554  5.305  1.185  0.000  0.064  356.10  272.22  139.41  127.49    0.00    5.32   0.364   0.270   0.210   0.129   0.085   0.127
 1997 234    87  15.50  33.50  23.50  3.879  3.142  0.846  3.872  3.142  0.614  0.000  0.116  359.98  276.09  142.55  128.11    0.00    5.44   0.189   0.139   0.107   0.067   0.045   0.066
 1997 235    88   6.80  32.50  22.50  1.672  1.356  0.363  1.669  1.356  0.263  0.000  0.050  361.65  277.76  143.90  128.37    0.00    5.49   0.079   0.057   0.046   0.030   0.020   0.030
 1997 236    89  15.90  31.50  22.00  3.854  3.118  0.845  3.847  3.118  0.653  0.000  0.076  365.51  281.61  147.02  129.02    0.00    5.56   0.196   0.139   0.115   0.075   0.051   0.076
 1997 237    90  21.80  32.40  23.00  5.370  4.348  1.176  5.361  4.348  0.956  0.000  0.056  370.88  286.97  151.37  129.98    0.00    5.62   0.304   0.210   0.162   0.105   0.071   0.105
 1997 238    91  15.70  31.50  22.20  3.813  3.091  0.831  3.806  3.091  0.599  0.000  0.116  374.69  290.77  154.46  130.58    0.00    5.73   0.191   0.131   0.101   0.066   0.044   0.066
 1997 239    92  17.60  32.50  23.00  4.341  3.520  0.947  4.334  3.520  0.723  0.000  0.091  379.03  295.11  157.98  131.30    0.00    5.82   0.237   0.157   0.120   0.078   0.052   0.079
 1997 240    93   9.80  32.50  20.50  2.377  1.927  0.518  2.372  1.927  0.372  0.000  0.073  381.41  297.48  159.91  131.67    0.00    5.90   0.120   0.079   0.063   0.041   0.027   0.041
 1997 241    94  22.90  31.20  22.50  5.553  4.500  1.215  5.543  4.500  0.937  0.000  0.106  386.96  303.02  164.41  132.61    0.00    6.00   0.305   0.210   0.155   0.100   0.067   0.100
 1997 242    95  21.00  30.00  23.40  5.062  4.104  1.105  5.052  4.104  0.837  0.000  0.111  392.02  308.07  168.51  133.45    0.00    6.11   0.264   0.187   0.141   0.091   0.062   0.091
 1997 243    96  22.00  31.00  22.70  5.330  4.324  1.162  5.320  4.324  0.914  0.000  0.082  397.35  313.39  172.84  134.36    0.00    6.20   0.279   0.198   0.158   0.103   0.070   0.105
 1997 244    97  18.50  33.00  23.00  4.585  3.721  0.998  4.577  3.721  0.795  0.000  0.060  401.94  317.97  176.56  135.16    0.00    6.26   0.678   0.079   0.023   0.008   0.003   0.003
 1997 245    98  18.00  30.50  23.50  4.359  3.538  0.949  4.351  3.538  0.768  0.000  0.044  406.30  322.32  180.10  135.93    0.00    6.30   0.649   0.080   0.024   0.008   0.004   0.003
 1997 246    99  11.20  28.60  23.00  2.647  2.148  0.577  2.642  2.148  0.461  0.000  0.033  408.94  324.96  182.24  136.39    0.00    6.33   0.386   0.050   0.015   0.005   0.002   0.002
 1997 247   100  11.60  30.00  23.50  2.793  2.265  0.612  2.788  2.265  0.438  0.000  0.085  411.74  327.75  184.51  136.82    0.00    6.42   0.379   0.040   0.012   0.004   0.002   0.002
 1997 248   101  18.80  32.50  22.50  4.620  3.743  1.017  4.612  3.743  0.758  0.000  0.111  416.36  332.36  188.25  137.58    0.00    6.53   0.256   0.168   0.121   0.077   0.052   0.083
 1997 249   102  14.00  31.50  22.00  3.394  2.749  0.748  3.388  2.749  0.530  0.000  0.109  419.75  335.75  191.00  138.11    0.00    6.64   0.169   0.124   0.089   0.055   0.036   0.057
 1997 250   103  17.10  30.50  22.00  4.100  3.318  0.907  4.092  3.318  0.685  0.000  0.089  423.85  339.85  194.32  138.80    0.00    6.73   0.212   0.152   0.118   0.078   0.049   0.077
 1997 251   104  23.30  31.50  23.00  5.685  4.598  1.262  5.674  4.598  1.011  0.000  0.065  429.54  345.52  198.92  139.81    0.00    6.79   0.313   0.230   0.183   0.112   0.069   0.104
 1997 252   105  12.20  31.50  23.50  2.989  2.417  0.664  2.984  2.417  0.469  0.000  0.098  432.53  348.50  201.33  140.28    0.00    6.89   0.144   0.108   0.087   0.054   0.032   0.044
 1997 253   106  15.70  30.50  22.50  3.780  3.054  0.844  3.773  3.054  0.599  0.000  0.120  436.31  352.28  204.39  140.88    0.00    7.01   0.184   0.131   0.108   0.073   0.044   0.058
 1997 254   107  15.20  29.00  22.50  3.601  2.906  0.807  3.594  2.906  0.568  0.000  0.120  439.91  355.87  207.29  141.44    0.00    7.13   0.173   0.120   0.102   0.068   0.044   0.061
 1997 255   108  20.80  31.50  22.50  5.058  4.080  1.138  5.049  4.080  0.878  0.000  0.091  444.97  360.92  211.37  142.32    0.00    7.22   0.263   0.184   0.157   0.106   0.070   0.099
 1997 256   109  21.50  33.50  24.00  5.392  4.348  1.217  5.383  4.348  0.969  0.000  0.066  450.36  366.30  215.72  143.29    0.00    7.29   0.288   0.210   0.176   0.119   0.074   0.102
 1997 257   110  16.50  29.50  21.50  3.901  3.144  0.882  3.894  3.144  0.618  0.000  0.132  454.26  370.20  218.87  143.91    0.00    7.42   0.184   0.134   0.113   0.075   0.047   0.065
 1997 258   111  20.80  32.50  23.00  5.129  4.130  1.164  5.120  4.130  0.887  0.000  0.103  459.39  375.32  223.00  144.80    0.00    7.52   0.274   0.191   0.156   0.105   0.068   0.093
 1997 259   112  19.80  31.00  21.00  4.741  3.815  1.079  4.732  3.815  0.774  0.000  0.142  464.13  380.05  226.81  145.57    0.00    7.66   0.241   0.163   0.134   0.090   0.060   0.085
 1997 260   113  21.00  31.50  22.00  5.088  4.093  1.161  5.079  4.093  0.883  0.000  0.102  469.22  385.13  230.91  146.45    0.00    7.77   0.276   0.198   0.151   0.099   0.066   0.094
 1997 261   114   9.10  26.50  22.00  2.089  1.679  0.478  2.085  1.679  0.333  0.000  0.072  471.31  387.21  232.58  146.79    0.00    7.84   0.103   0.077   0.059   0.036   0.024   0.033
 1997 262   115  16.30  30.00  22.50  3.903  3.133  0.899  3.896  3.133  0.626  0.000  0.136  475.21  391.11  235.72  147.41    0.00    7.98   0.190   0.138   0.115   0.071   0.046   0.066
 1997 263   116  14.60  32.00  23.50  3.594  2.883  0.832  3.588  2.883  0.599  0.000  0.106  478.80  394.69  238.60  148.01    0.00    8.08   0.179   0.129   0.109   0.069   0.046   0.067
 1997 264   117  24.50  33.50  24.00  6.145  4.924  1.428  6.134  4.924  1.134  0.000  0.076  484.95  400.83  243.52  149.15    0.00    8.16   0.337   0.239   0.205   0.133   0.089   0.132
 1997 265   118  19.70  33.50  24.50  4.956  3.970  1.154  4.948  3.970  0.923  0.000  0.055  489.91  405.78  247.49  150.07    0.00    8.21   0.281   0.206   0.164   0.103   0.068   0.101
 1997 266   119   7.60  28.00  21.00  1.761  1.410  0.411  1.758  1.410  0.285  0.000  0.063  491.67  407.53  248.90  150.35    0.00    8.28   0.088   0.064   0.050   0.031   0.021   0.031
 1997 267   120  19.50  32.00  22.40  4.764  3.809  1.118  4.755  3.809  0.820  0.000  0.127  496.43  412.29  252.71  151.17    0.00    8.40   0.263   0.179   0.141   0.089   0.059   0.087
 1997 268   121   9.30  28.50  21.50  2.175  1.738  0.512  2.171  1.738  0.354  0.000  0.079  498.61  414.46  254.45  151.53    0.00    8.48   0.113   0.074   0.061   0.040   0.027   0.040
 1997 269   122  16.00  33.50  21.70  3.951  3.154  0.935  3.944  3.154  0.692  0.000  0.099  502.56  418.40  257.60  152.22    0.00    8.58   0.214   0.144   0.121   0.079   0.053   0.080
 1997 270   123  24.70  34.50  24.50  6.279  5.009  1.489  6.269  5.009  1.188  0.000  0.071  508.84  424.67  262.61  153.41    0.00    8.65   0.355   0.254   0.212   0.141   0.099   0.128

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   3        : 97 DATE2 CHINESE          CRGRO045 GHNY9701    3              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  3   : 97 DATE2 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 176     1  16.50  31.00  23.50  4.228  0.000  4.228  3.716  0.000  3.672  0.000  0.044    4.23    3.72    0.00    3.67    0.00    0.04   0.973   0.777   0.661   0.448   0.317   0.496
 1997 177     2  24.10  31.50  23.00  6.163  0.000  6.163  4.895  0.000  4.861  0.000  0.034   10.39    8.61    0.00    8.53    0.00    0.08   1.212   1.034   0.894   0.609   0.434   0.679
 1997 178     3  21.80  32.00  23.00  5.577  0.000  5.577  0.881  0.000  0.855  0.000  0.026   15.97    9.49    0.00    9.39    0.00    0.10   0.694   0.106   0.033   0.012   0.005   0.005
 1997 179     4  13.10  32.00  21.20  3.300  0.000  3.300  2.900  0.000  2.880  0.000  0.020   19.27   12.39    0.00   12.27    0.00    0.12   0.759   0.622   0.532   0.351   0.246   0.369
 1997 180     5  23.00  30.70  23.00  5.924  0.000  5.924  5.206  0.000  5.117  0.000  0.090   25.19   17.60    0.00   17.38    0.00    0.21   1.506   1.069   0.907   0.590   0.418   0.627
 1997 181     6  16.40  29.50  23.40  4.143  0.000  4.143  3.641  0.000  3.572  0.000  0.069   29.34   21.24    0.00   20.96    0.00    0.28   1.063   0.743   0.626   0.410   0.292   0.438
 1997 182     7  19.30  29.50  25.00  4.972  0.000  4.972  4.370  0.000  4.277  0.000  0.093   34.31   25.61    0.00   25.23    0.00    0.38   1.280   0.878   0.743   0.489   0.351   0.535
 1997 183     8   8.80  29.50  23.50  2.226  0.000  2.226  1.199  0.000  1.127  0.000  0.072   36.53   26.81    0.00   26.36    0.00    0.45   0.955   0.115   0.035   0.012   0.005   0.005
 1997 184     9   9.50  27.50  20.50  2.291  0.000  2.291  1.095  0.000  1.040  0.000  0.055   38.82   27.90    0.00   27.40    0.00    0.50   0.868   0.114   0.035   0.012   0.005   0.005
 1997 185    10   9.70  29.00  21.50  2.387  0.021  2.375  1.023  0.021  0.960  0.000  0.042   41.21   28.93    0.02   28.36    0.00    0.54   0.789   0.114   0.035   0.012   0.005   0.005
 1997 186    11  16.60  29.70  23.50  4.161  0.043  4.137  1.022  0.043  0.947  0.000  0.032   45.37   29.95    0.06   29.31    0.00    0.58   0.777   0.113   0.035   0.012   0.005   0.005
 1997 187    12  15.70  29.80  22.70  3.925  0.050  3.897  1.075  0.050  0.935  0.000  0.091   49.30   31.02    0.11   30.24    0.00    0.67   0.765   0.112   0.035   0.012   0.005   0.005
 1997 188    13  16.40  29.00  22.50  4.046  0.066  4.009  0.999  0.066  0.863  0.000  0.070   53.34   32.02    0.18   31.10    0.00    0.74   0.695   0.111   0.034   0.012   0.005   0.005
 1997 189    14  21.50  30.50  22.50  5.374  0.112  5.311  0.963  0.112  0.798  0.000  0.053   58.72   32.99    0.29   31.90    0.00    0.79   0.631   0.111   0.034   0.012   0.005   0.005
 1997 190    15  18.90  31.50  22.50  4.761  0.123  4.692  0.902  0.123  0.738  0.000  0.041   63.48   33.89    0.41   32.64    0.00    0.83   0.571   0.110   0.034   0.012   0.005   0.005
 1997 191    16  11.40  27.50  23.30  2.760  0.087  2.711  2.469  0.087  2.351  0.000  0.031   66.24   36.36    0.50   34.99    0.00    0.86   0.599   0.526   0.433   0.283   0.203   0.306
 1997 192    17  11.60  31.00  22.00  2.971  0.110  2.908  2.665  0.110  2.465  0.000  0.091   69.21   39.02    0.61   37.46    0.00    0.95   0.737   0.519   0.427   0.279   0.200   0.304
 1997 193    18  19.80  27.50  23.00  4.883  0.208  4.765  4.395  0.208  4.118  0.000  0.070   74.09   43.42    0.82   41.57    0.00    1.02   1.219   0.854   0.718   0.471   0.339   0.517
 1997 194    19  21.50  31.00  23.50  5.514  0.268  5.361  1.510  0.268  1.148  0.000  0.093   79.61   44.93    1.09   42.72    0.00    1.12   0.976   0.115   0.035   0.012   0.005   0.005
