*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    SNW0C   SNW1C
 1997 202    55    53   15.3      5  1.948    687    776      2    215   1463   1511     17    14.4  0.002     48     38  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.61   5.03   0.03      0     48  283.6   0.23   0.50   79.5   0.90    0.48    0.48    0.33    0.16    0.11    0.02       30      31
 1997 203    56    54   15.6      5  2.045    732    841      4    227   1573   1633     23    19.3  0.003     59     45  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   7.47   0.04      0     59  279.2   0.23   0.50   90.1   0.90    0.50    0.50    0.35    0.16    0.11    0.02       33      33
 1997 204    57    55   15.9      5  2.143    774    901      7    237   1675   1747     29    24.5  0.004     72     52  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.59   9.81   0.04      0     72  277.1   0.24   0.50   90.1   0.90    0.52    0.52    0.36    0.17    0.12    0.02       35      36
 1997 205    58    56   16.2      5  2.238    813    960     10    247   1774   1861     35    29.6  0.006     87     60  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58  11.97   0.05      0     87  275.1   0.24   0.50   90.1   0.90    0.54    0.54    0.38    0.18    0.12    0.02       37      38
 1997 206    59    57   16.5      5  2.331    859   1029     15    258   1888   1992     41    35.4  0.007    105     66  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58  13.99   0.05      0    105  271.4   0.25   0.50   91.0   0.90    0.57    0.57    0.40    0.19    0.13    0.02       40      40
 1997 207    60    58   16.8      5  2.430    904   1099     19    269   2004   2126     48    40.4  0.009    123     71  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58  15.78   0.06      0    123  268.7   0.25   0.50   92.0   0.90    0.59    0.59    0.41    0.20    0.14    0.03       42      42
 1997 208    61    59   17.1      5  2.528    948   1167     25    280   2115   2258     56    44.4  0.011    143     79  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.57  17.41   0.06      0    143  266.7   0.25   0.50   92.0   0.90    0.62    0.62    0.43    0.20    0.14    0.03       45      45
 1997 209    62    60   17.4      5  2.623    993   1240     31    291   2234   2398     62    50.0  0.013    164     87  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.56  19.01   0.07      0    164  264.1   0.26   0.50   93.7   0.90    0.64    0.64    0.45    0.21    0.15    0.03       48      48
 1997 210    63    61   17.8      5  2.698   1023   1292     39    298   2315   2503     72    53.3  0.015    188     96  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.54  20.48   0.08      0    188  263.6   0.26   0.50   93.7   0.90    0.66    0.66    0.46    0.22    0.15    0.03       51      50
 1997 211    64    62   18.1      5  2.751   1045   1331     47    302   2375   2591     84    56.2  0.018    215    106  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.51  21.98   0.08      0    215  263.3   0.27   0.50   93.7   0.90    0.67    0.67    0.46    0.22    0.16    0.03       55      53
 1997 212    65    63   18.3      5  2.785   1059   1360     58    305   2419   2664     97    59.6  0.022    245    115  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.48  23.52   0.09      0    245  263.0   0.27   0.50   93.7   0.90    0.67    0.67    0.47    0.23    0.16    0.03       58      56
 1997 213    66    64   18.6      5  2.835   1081   1401     70    310   2482   2760    108    64.6  0.025    278    124  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.46  25.07   0.10      0    278  262.3   0.28   0.50   93.7   0.90    0.68    0.68    0.48    0.23    0.16    0.03       62      58
 1997 214    67    65   18.9      5  2.912   1122   1474     82    319   2595   2906    116    71.1  0.028    311    135  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.45  26.45   0.11      0    311  259.6   0.28   0.50   93.7   0.90    0.71    0.71    0.49    0.24    0.17    0.03       65      61
 1997 215    68    66   19.2      5  2.985   1159   1542     95    328   2701   3046    128    74.1  0.031    344    143  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.43  27.65   0.11      0    344  257.5   0.28   0.50   93.7   0.90    0.72    0.72    0.51    0.24    0.17    0.03       69      64
 1997 216    69    67   19.5      5  3.033   1180   1585    110    332   2765   3147    142    77.8  0.035    382    151  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.40  28.95   0.12      0    382  257.0   0.29   0.50   93.7   0.90    0.73    0.73    0.51    0.25    0.17    0.03       73      67
 1997 217    70    68   19.8      5  3.083   1205   1635    127    338   2840   3262    156    81.8  0.039    421    157  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.38  30.25   0.13      0    421  255.9   0.29   0.50   93.7   0.90    0.75    0.75    0.52    0.25    0.18    0.03       76      70
 1997 218    71    69   20.1      5  3.098   1211   1655    147    338   2867   3331    172    85.1  0.044    464    165  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.33  31.58   0.14      0    464  255.7   0.30   0.50   93.7   0.90    0.75    0.75    0.52    0.25    0.18    0.03       80      73
 1997 219    72    70   20.4      5  3.137   1231   1698    167    342   2929   3437    188    88.9  0.049    508    176  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.31  32.88   0.15      0    508  254.8   0.30   0.50   93.7   0.90    0.76    0.76    0.53    0.26    0.18    0.03       84      76
 1997 220    73    71   20.6      5  3.190   1266   1768    190    350   3034   3589    202    93.9  0.053    555    187  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29  34.17   0.15      0    555  252.0   0.30   0.50   93.7   0.90    0.78    0.78    0.54    0.26    0.18    0.04       88      80
 1997 221    74    72   20.9      5  3.229   1287   1816    213    354   3102   3704    220    97.1  0.058    602    195  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.27  35.40   0.16      0    602  251.0   0.31   0.50   93.7   0.90    0.79    0.79    0.55    0.27    0.19    0.04       92      83
 1997 222    75    73   21.2      5  3.279   1318   1882    239    361   3200   3853    234   102.4  0.062    653    205  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.25  36.63   0.17      0    653  248.8   0.31   0.50   93.7   0.90    0.80    0.80    0.56    0.27    0.19    0.04       97      86
 1997 223    76    74   21.5      5  3.326   1349   1950    267    367   3299   4004    246   108.4  0.067    705    211  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  37.83   0.18      0    705  246.6   0.31   0.50   93.7   0.90    0.82    0.82    0.57    0.28    0.19    0.04      101      89
 1997 224    77    75   21.7      5  3.362   1372   2005    296    372   3377   4137    257   115.2  0.072    760    220  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.20  38.98   0.18      0    760  245.1   0.32   0.50   93.7   0.90    0.83    0.83    0.58    0.28    0.20    0.04      105      93
 1997 225    78    76   22.0      5  3.400   1396   2062    327    377   3457   4273    271   120.7  0.076    815    231  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.18  40.06   0.19      0    815  243.6   0.32   0.50   93.7   0.90    0.83    0.84    0.59    0.28    0.20    0.04      109      96
 1997 226    79    77   22.3      5  3.434   1417   2115    358    380   3532   4403    289   123.9  0.081    871    241  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.15  41.10   0.20      0    871  242.4   0.32   0.50   93.7   0.90    0.83    0.85    0.59    0.29    0.20    0.04      114     100
 1997 227    80    78   22.5      5  3.432   1416   2125    393    379   3541   4474    306   128.6  0.088    933    252  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.11  42.19   0.21      0    933  242.4   0.33   0.50   93.7   0.90    0.83    0.85    0.59    0.29    0.20    0.04      118     104
 1997 228    81    79   22.8      5  3.462   1438   2180    427    383   3618   4608    320   133.5  0.093    990    263  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.09  43.16   0.21      0    990  240.8   0.33   0.50   93.7   0.90    0.84    0.86    0.60    0.29    0.20    0.04      123     107
 1997 229    82    80   23.0      5  3.475   1447   2211    465    384   3657   4711    336   138.6  0.099   1053    274  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.05  44.17   0.22      0   1053  240.2   0.33   0.50   93.7   0.90    0.84    0.86    0.60    0.29    0.21    0.04      127     111
 1997 230    83    81   23.3      5  3.499   1464   2260    502    387   3724   4838    346   144.9  0.104   1114    284  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.03  45.09   0.23      0   1114  238.9   0.34   0.50   93.7   0.90    0.85    0.87    0.61    0.29    0.21    0.04      132     114
 1997 231    84    82   23.5      5  3.522   1485   2316    543    391   3801   4982    361   150.6  0.109   1181    294  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.01  46.03   0.24      0   1181  237.2   0.34   0.50   93.7   0.90    0.86    0.88    0.61    0.30    0.21    0.04      136     118
 1997 232    85    83   23.8      5  3.542   1503   2368    587    394   3871   5121    379   154.8  0.115   1250    301  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.99  46.94   0.24      0   1250  235.7   0.34   0.50   93.7   0.90    0.87    0.88    0.62    0.30    0.21    0.04      141     121
 1997 233    86    84   24.0      5  3.568   1525   2429    629    398   3955   5270    394   159.5  0.119   1315    310  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.97  47.79   0.25      0   1315  233.9   0.35   0.50   93.7   0.90    0.88    0.89    0.62    0.30    0.21    0.04      146     125
 1997 234    87    85   24.2      5  3.578   1534   2463    672    398   3998   5380    412   163.0  0.125   1382    318  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.94  48.64   0.26      0   1382  233.2   0.35   0.50   93.7   0.90    0.88    0.90    0.63    0.31    0.21    0.04      151     129
 1997 235    88    86   24.5      5  3.554   1526   2465    719    394   3992   5419    431   167.1  0.133   1427    326  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.89  50.41   0.26      0   1427  232.8   0.35   0.50   91.9   0.90    0.87    0.89    0.62    0.30    0.21    0.04      156     135
 1997 236    89    87   24.7      5  3.558   1533   2496    770    394   4029   5530    447   172.0  0.139   1501    336  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.86  51.27   0.27      0   1501  232.1   0.36   0.50   91.9   0.90    0.88    0.89    0.62    0.30    0.21    0.04      161     138
 1997 237    90    88   24.9      5  3.570   1547   2544    821    396   4091   5666    464   176.8  0.145   1575    346  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.84  52.09   0.28      0   1575  230.7   0.36   0.50   91.9   0.90    0.88    0.89    0.62    0.30    0.21    0.04      166     142
 1997 238    91    89   25.1      5  3.569   1551   2569    875    396   4120   5774    480   182.2  0.151   1654    356  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.81  52.89   0.29      0   1654  230.1   0.36   0.50   91.9   0.90    0.88    0.89    0.63    0.31    0.21    0.04      172     146
 1997 239    92    90   25.3      5  3.572   1558   2600    929    396   4158   5890    491   189.1  0.158   1732    363  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.78  53.64   0.29      0   1732  229.3   0.36   0.50   91.9   0.90    0.88    0.90    0.63    0.31    0.22    0.04      176     149
 1997 240    93    91   25.5      5  3.561   1553   2605    985    394   4159   5949    506   194.6  0.166   1790    367  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.74  55.01   0.30      0   1790  229.3   0.36   0.50   91.9   0.90    0.88    0.89    0.62    0.30    0.21    0.04      181     153
 1997 241    94    92   25.6      5  3.567   1564   2647   1042    395   4211   6082    520   200.6  0.171   1871    375  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.73  55.73   0.31      0   1871  228.0   0.37   0.50   91.9   0.90    0.88    0.90    0.63    0.31    0.22    0.04      186     156
 1997 242    95    93   25.8      5  3.570   1573   2684   1102    395   4257   6210    534   206.5  0.177   1953    384  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.71  56.43   0.31      0   1953  227.0   0.37   0.50   91.9   0.90    0.88    0.90    0.63    0.31    0.22    0.04      191     160
 1997 243    96    94   26.0      5  3.573   1582   2724   1162    396   4306   6340    550   211.2  0.183   2034    391  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.68  57.11   0.32      0   2034  225.9   0.37   0.50   91.9   0.90    0.89    0.90    0.63    0.31    0.22    0.04      196     164
 1997 244    97    95   26.2      5  3.573   1587   2753   1220    396   4340   6453    566   215.5  0.189   2112    399  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.66  57.76   0.33      0   2112  225.1   0.37   0.50   91.9   0.90    0.89    0.90    0.63    0.31    0.22    0.04      201     168
 1997 245    98    96   26.4      5  3.570   1591   2780   1283    395   4370   6566    582   220.4  0.195   2195    404  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.64  58.43   0.33      0   2195  224.4   0.37   0.50   91.9   0.90    0.89    0.90    0.63    0.31    0.22    0.04      206     171
 1997 246    99    97   26.6      5  3.558   1586   2787   1348    393   4373   6632    595   226.6  0.203   2259    412  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.60  59.66   0.34      0   2259  224.3   0.38   0.50   91.9   0.90    0.88    0.89    0.63    0.31    0.22    0.04      210     175
 1997 247   100    98   26.7      5  3.547   1582   2793   1413    390   4375   6699    602   234.8  0.211   2323    420  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.56  60.80   0.35      0   2323  224.2   0.38   0.50   91.9   0.90    0.88    0.89    0.62    0.30    0.21    0.04      215     179
 1997 248   101    99   26.9      5  3.543   1586   2820   1474    390   4405   6810    615   239.8  0.217   2404    428  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.54  61.32   0.35      0   2404  223.4   0.38   0.50   91.9   0.90    0.88    0.89    0.62    0.30    0.21    0.04      219     182
 1997 249   102   100   27.1      5  3.533   1583   2830   1538    387   4413   6893    629   244.4  0.223   2479    435  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.51  62.04   0.36      0   2479  223.2   0.38   0.50   91.9   0.90    0.87    0.89    0.62    0.30    0.21    0.04      223     186
 1997 250   103   101   27.2      5  3.525   1583   2848   1604    386   4431   6995    642   249.7  0.229   2565    442  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.48  62.53   0.37      0   2565  222.7   0.38   0.50   91.9   0.90    0.87    0.88    0.62    0.30    0.21    0.04      227     189
 1997 251   104   102   27.4      5  3.521   1588   2880   1668    386   4469   7115    664   251.4  0.234   2647    447  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.47  63.01   0.37      0   2647  221.7   0.39   0.50   91.9   0.90    0.87    0.88    0.62    0.30    0.21    0.04      232     193
 1997 252   105   103   27.5      5  3.510   1584   2887   1733    383   4471   7179    677   256.0  0.241   2709    452  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.43  63.99   0.38      0   2709  221.6   0.39   0.50   91.9   0.90    0.87    0.88    0.61    0.30    0.21    0.04      236     197
 1997 253   106   104   27.5      5  3.500   1582   2899   1800    381   4481   7269    690   260.8  0.248   2787    458  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.41  64.59   0.38      0   2787  221.3   0.39   0.50   91.9   0.90    0.86    0.87    0.61    0.30    0.21    0.04      240     200
 1997 254   107   105   27.5      5  3.490   1580   2912   1869    379   4492   7356    703   265.8  0.254   2864    463  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.38  65.27   0.39      0   2864  220.9   0.39   0.50   91.9   0.90    0.86    0.87    0.61    0.30    0.21    0.04      244     204
 1997 255   108   106   27.5      5  3.484   1582   2935   1936    378   4516   7464    703   275.3  0.259   2947    469  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.36  65.68   0.39      0   2947  220.3   0.39   0.50   91.9   0.90    0.86    0.87    0.61    0.30    0.21    0.04      247     207
 1997 256   109   107   27.5      5  3.479   1585   2962   1998    377   4546   7571    714   279.6  0.264   3024    474  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.35  66.06   0.40      0   3024  219.5   0.40   0.50   91.9   0.90    0.85    0.87    0.61    0.30    0.21    0.04      251     211
 1997 257   110   108   27.5      5  3.469   1583   2975   2065    375   4558   7663    726   284.4  0.269   3105    476  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.32  66.51   0.41      0   3105  219.1   0.40   0.50   91.9   0.90    0.85    0.86    0.60    0.30    0.21    0.04      255     214
 1997 258   111   109   27.5      5  3.463   1586   3001   2128    374   4586   7768    735   289.5  0.274   3181    481  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.31  66.89   0.41      0   3181  218.4   0.40   0.50   91.9   0.90    0.85    0.86    0.60    0.29    0.21    0.04      258     218
 1997 259   112   110   27.5      5  3.456   1587   3025   2193    372   4612   7872    743   295.0  0.279   3260    485  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.29  67.26   0.41      0   3260  217.7   0.40   0.50   91.9   0.90    0.85    0.86    0.60    0.29    0.21    0.04      262     221
 1997 260   113   111   27.5      5  3.449   1590   3052   2255    371   4642   7978    753   299.5  0.283   3336    490  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.27  67.60   0.42      0   3336  216.9   0.40   0.50   91.9   0.90    0.84    0.86    0.60    0.29    0.21    0.04      265     225
 1997 261   114   112   27.5      5  3.432   1586   3061   2309    368   4647   8034    762   303.2  0.287   3387    494  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.22  68.17   0.42      0   3387  216.4   0.40   0.50   91.9   0.90    0.84    0.85    0.59    0.29    0.20    0.04      269     228
 1997 262   115   113   27.5      5  3.421   1583   3074   2372    366   4657   8120    771   307.7  0.292   3463    498  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.20  68.51   0.43      0   3463  216.1   0.40   0.50   91.9   0.90    0.83    0.84    0.59    0.29    0.20    0.04      272     231
 1997 263   116   114   27.5      5  3.410   1580   3081   2432    363   4660   8191    781   311.5  0.297   3531    503  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.17  68.88   0.43      0   3531  215.9   0.40   0.50   91.9   0.90    0.83    0.84    0.59    0.29    0.20    0.04      276     235
 1997 264   117   115   27.5      5  3.405   1583   3110   2490    362   4693   8292    783   317.8  0.300   3599    507  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.16  69.18   0.43      0   3599  215.1   0.40   0.50   91.9   0.90    0.83    0.84    0.58    0.29    0.20    0.04      279     238
 1997 265   118   116   27.5      5  3.399   1585   3134   2545    360   4719   8382    791   321.7  0.304   3664    511  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.14  69.47   0.44      0   3664  214.5   0.40   0.50   91.9   0.90    0.82    0.83    0.58    0.29    0.20    0.04      282     242
 1997 266   119   117   27.5      5  3.385   1580   3138   2589    357   4718   8423    799   324.1  0.307   3704    511  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.10  69.88   0.44      0   3704  214.2   0.40   0.50   91.9   0.90    0.82    0.83    0.58    0.28    0.20    0.04      285     245
 1997 267   120   118   27.5      5  3.379   1584   3167   2641    356   4750   8516    806   327.5  0.310   3766    514  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.09  70.13   0.44      0   3766  213.4   0.40   0.50   91.9   0.90    0.81    0.82    0.58    0.28    0.20    0.04      288     248
 1997 268   121   119   27.5      5  3.365   1580   3173   2690    352   4753   8565    814   330.6  0.314   3812    517  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.05  70.55   0.45      0   3812  213.0   0.40   0.50   91.9   0.90    0.81    0.82    0.57    0.28    0.20    0.04      291     251
 1997 269   122   120   27.5      5  3.359   1580   3191   2739    351   4771   8640    821   333.8  0.317   3870    519  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.03  70.78   0.45      0   3870  212.6   0.40   0.50   91.9   0.90    0.80    0.81    0.57    0.28    0.20    0.04      294     254
 1997 270   123   121   27.5      8  3.347   1593   3272   2783    347   4864   8776    827   336.3  0.317   3912    522  0.000  0.000  0.534  0.000  0.000  0.000  0.000    2.97  71.15   0.45      0   3912  210.2   0.40   0.50   91.9   0.90    0.80    0.81    0.56    0.28    0.19    0.04      296     258

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:35
                                                                                
*RUN   3        : 97 DATE2 CHINESE          CRGRO045 GHNY9701    3              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  3   : 97 DATE2 CHINESE          CRGRO045                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    SNW0C   SNW1C
 1997 177     2     0    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 178     3     1    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 179     4     2    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 180     5     3    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 181     6     4    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 182     7     5    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 183     8     6    0.0      0  0.000      0      0      0      0      0      0      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    0.00   0.00   0.00      0      0    0.0   0.00   0.00    0.0   0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       0
 1997 184     9     7    0.1      0  0.013      9      2      0      9     11     11      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    5.36   0.00   0.00      0      0  145.6   0.02   0.03    1.4   0.26    0.03    0.03    0.02    0.00    0.00    0.00        0       0
 1997 185    10     8    0.4      0  0.015      9      2      0     10     11     11      0     0.0  0.000      0      0  0.000  0.000  0.618  0.000  0.000  0.000  0.000    5.31   0.00   0.00      0      0  159.8   0.02   0.03    1.4   0.29    0.03    0.03    0.02    0.00    0.00    0.00        0       0
 1997 186    11     9    0.7      0  0.018     10      2      0     11     12     12      0     0.0  0.000      0      0  0.000  0.000  0.363  0.000  0.000  0.000  0.000    5.30   0.00   0.00      0      0  178.8   0.03   0.04    1.5   0.32    0.03    0.03    0.02    0.00    0.00    0.00        0       0
 1997 187    12    10    1.0      0  0.024     12      2      0     11     14     14      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    5.27   0.00   0.00      0      0  200.2   0.03   0.05    1.5   0.34    0.04    0.04    0.02    0.00    0.00    0.00        0       0
 1997 188    13    11    1.6      0  0.030     14      3      0     12     16     16      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    5.17   0.00   0.00      0      0  219.8   0.04   0.05    1.8   0.37    0.04    0.04    0.02    0.00    0.00    0.00        0       1
 1997 189    14    12    2.1      0  0.038     16      3      0     13     19     19      0     0.0  0.000      0      0  0.000  0.000  0.089  0.000  0.000  0.000  0.000    5.00   0.00   0.00      0      0  234.5   0.05   0.07    2.2   0.40    0.04    0.04    0.02    0.00    0.00    0.00        0       1
 1997 190    15    13    2.6      0  0.046     18      3      0     14     22     22      0     0.0  0.000      0      0  0.000  0.000  0.072  0.000  0.000  0.000  0.000    4.87   0.00   0.00      0      0  247.6   0.06   0.08    2.6   0.42    0.04    0.04    0.03    0.00    0.00    0.00        0       1
 1997 191    16    14    3.1      0  0.054     21      4      0     15     25     25      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.86   0.00   0.00      0      0  261.1   0.07   0.09    2.8   0.45    0.04    0.04    0.03    0.00    0.00    0.00        0       1
 1997 192    17    15    3.6      0  0.062     23      5      0     16     28     28      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.83   0.00   0.00      0      0  272.6   0.07   0.11    3.3   0.48    0.05    0.05    0.03    0.00    0.00    0.00        0       1
 1997 193    18    16    4.0      0  0.071     26      6      0     18     32     32      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.73   0.00   0.00      0      0  277.6   0.08   0.12    4.0   0.50    0.05    0.05    0.03    0.01    0.00    0.00        0       1
 1997 194    19    17    4.4      0  0.080     28      9      0     21     37     37      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.65   0.00   0.00      0      0  282.5   0.09   0.13    4.8   0.53    0.06    0.06    0.04    0.01    0.00    0.00        0       1
 1997 195    20    18    4.8      0  0.088     31     11      0     23     42     42      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.65   0.00   0.00      0      0  288.0   0.10   0.14    5.4   0.56    0.06    0.06    0.04    0.01    0.00    0.00        0       2
 1997 196    21    19    5.1      0  0.100     34     13      0     25     47     47      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.69   0.00   0.00      0      0  296.4   0.10   0.15    5.5   0.59    0.07    0.07    0.04    0.01    0.00    0.00        1       2
 1997 197    22    20    5.4      0  0.109     36     15      0     26     51     51      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.71   0.00   0.00      0      0  301.4   0.11   0.16    5.7   0.61    0.07    0.07    0.05    0.01    0.00    0.00        1       2
 1997 198    23    21    5.7      0  0.125     41     18      0     28     59     59      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.63   0.00   0.00      0      0  306.1   0.11   0.17    6.8   0.64    0.07    0.07    0.05    0.01    0.01    0.00        1       2
