*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                    0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    SNW0C   SNW1C
 1997 168    21    19    4.9      0  0.089     31     12      0     24     44     44      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.65   0.00   0.00      0      0  284.3   0.10   0.14    5.7   0.56    0.07    0.07    0.04    0.01    0.00    0.00        1       2
 1997 169    22    20    5.2      0  0.103     36     15      0     26     51     51      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.57   0.00   0.00      0      0  287.2   0.10   0.15    6.8   0.59    0.07    0.07    0.05    0.01    0.00    0.00        1       2
 1997 170    23    21    5.5      0  0.117     40     18      0     28     58     58      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.00   0.00      0      0  291.3   0.11   0.16    7.6   0.62    0.07    0.07    0.05    0.01    0.01    0.00        1       2
 1997 171    24    22    5.8      0  0.133     46     21      0     31     67     67      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.54   0.00   0.00      0      0  291.8   0.11   0.17    9.1   0.64    0.08    0.08    0.05    0.02    0.01    0.00        1       2
 1997 172    25    23    6.1      0  0.153     52     26      0     33     77     77      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.53   0.00   0.00      0      0  295.9   0.12   0.18   10.6   0.67    0.09    0.08    0.06    0.02    0.01    0.00        1       3
 1997 173    26    24    6.5      0  0.173     56     29      0     35     85     85      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.57   0.00   0.00      0      0  307.6   0.12   0.19   10.7   0.70    0.09    0.09    0.06    0.02    0.01    0.00        1       3
 1997 174    27    25    6.7      0  0.190     62     33      0     37     95     95      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.62   0.00   0.00      0      0  308.5   0.13   0.20   10.9   0.72    0.09    0.09    0.06    0.02    0.01    0.00        1       3
 1997 175    28    26    7.1      1  0.213     68     39      0     39    107    107      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.63   0.00   0.00      0      0  311.6   0.13   0.21   11.8   0.75    0.10    0.10    0.07    0.02    0.01    0.00        1       3
 1997 176    29    27    7.4      1  0.243     77     46      0     41    123    123      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.58   0.00   0.00      0      0  315.8   0.14   0.23   14.1   0.78    0.10    0.10    0.07    0.03    0.01    0.00        2       4
 1997 177    30    28    7.7      1  0.268     86     54      0     46    140    140      0     0.0  0.000      0      0  0.000  0.121  0.000  0.000  0.000  0.000  0.000    4.53   0.00   0.00      0      0  311.0   0.14   0.24   17.0   0.81    0.11    0.11    0.08    0.03    0.02    0.00        2       4
