*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1997 188    41    39    608  9.7656  0.0450  5.7769  2.0669  0.7912 0.26245  4.512  9.071 27.972 25.661  0.0000  0.0000  0.0000
 1997 189    42    40    678 11.5188  0.0527  6.9903  2.3545  0.9584 0.32965  4.717  9.510 29.234 26.390  0.0000  0.0000  0.0000
 1997 190    43    41    747 12.0951  0.0617  6.9715  2.5464  1.0682 0.36640  4.899  9.892 30.075 26.876  0.0000  0.0000  0.0000
 1997 191    44    42    803 10.1405  0.0708  5.7539  2.1391  0.9017 0.32503  5.029 10.160 26.835 25.342  0.0000  0.0000  0.0000
 1997 192    45    43    864 10.9281  0.0779  6.1376  2.2783  1.0538 0.36541  5.163 10.438 29.574 26.375  0.0000  0.0000  0.0000
 1997 193    46    44    949 14.3028  0.0868  8.5626  2.9209  1.1489 0.50984  5.349 10.819 26.787 25.187  0.0000  0.0000  0.0000
 1997 194    47    45   1042 15.9651  0.1031  9.4055  3.2091  1.4666 0.59209  5.548 11.205 29.811 27.145  0.0000  0.0000  0.0000
 1997 195    48    46   1131 16.2351  0.1229  9.1197  3.2941  1.6474 0.62579  5.729 11.549 30.810 28.144  0.0000  0.0000  0.0000
 1997 196    49    47   1197 12.3858  0.1313  6.9971  2.4688  1.2631 0.48397  5.848 11.754 28.310 25.644  4.3379 51.0000 13.3881
 1997 197    50    48   1251  9.9641  0.1293  5.7676  1.9489  0.9859 0.38159  5.923 11.882 24.785 23.186  4.1340 50.9696 14.6928
