*PEST AND DISEASE DAMAGE OUTPUT FILE


*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    DLA   DLA%    DLAI    DLFM    DSTM   DSDM   DSD#   DSHM   DSH#   DRTM    DRLV  DRLF   DASM   DPO%   CLAI    CLFM    CSTM    CSDM   CSD#  CSHM   CSH#   CRTM   CRLV   CRLF    CASM   CPO% 
 1997 177    30    28      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 178    31    29      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 179    32    30      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 180    33    31      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 181    34    32      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 182    35    33      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 183    36    34      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 184    37    35      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 185    38    36      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 186    39    37      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
