ApsimVersion = 7.5
Title = GHNY9701_11-97 DATE3 CHINESE
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)
     23/07/1997            0.0            0.0         83.588          0.000
     24/07/1997            0.0            0.0         82.156          0.000
     25/07/1997            0.0            0.0         81.715          0.000
     26/07/1997            0.0            0.0         81.302          0.000
     27/07/1997            0.0            0.0         80.903          0.000
     28/07/1997            0.0            0.0         80.513          0.000
     29/07/1997            0.0            0.0         83.898          0.000
     30/07/1997            4.5            0.0         97.038          0.006
     31/07/1997            4.7            0.0         95.223          0.006
     01/08/1997            5.1            0.0         93.872          0.007
     02/08/1997            5.9            0.0         91.767          0.009
     03/08/1997            6.8            0.0         90.561          0.011
     04/08/1997            7.4            0.0         89.576          0.012
     05/08/1997            8.3            0.0        127.994          0.014
     06/08/1997            8.8            0.0        120.780          0.015
     07/08/1997            9.8            0.0        113.395          0.017
     08/08/1997           11.7            0.0        107.048          0.021
     09/08/1997           13.2            0.0        103.194          0.024
     10/08/1997           15.8            0.0        101.328          0.029
     11/08/1997           19.1            0.0        100.223          0.035
     12/08/1997           22.1            0.0         99.498          0.041
     13/08/1997           25.5            0.0         98.957          0.048
     14/08/1997           29.2            0.0         98.487          0.055
     15/08/1997           31.3            0.0         98.710          0.060
     16/08/1997           36.1            0.0         97.736          0.069
     17/08/1997           39.8            0.0         97.372          0.076
     18/08/1997           45.0            0.0        134.130          0.087
     19/08/1997           51.4            0.0        121.358          0.099
     20/08/1997           57.6            0.0        112.056          0.111
     21/08/1997           66.3            0.0        119.234          0.128
     22/08/1997           71.5            0.0        110.890          0.138
     23/08/1997           74.0            0.0        105.880          0.142
     24/08/1997           80.7            0.0        103.074          0.155
     25/08/1997           90.4            0.0        108.591          0.173
     26/08/1997           97.7            0.0        104.773          0.187
     27/08/1997          106.4            0.0        107.616          0.196
     28/08/1997          111.8            0.0        104.718          0.202
     29/08/1997          126.4            0.0        110.925          0.218
     30/08/1997          140.4            0.0        106.278          0.234
     31/08/1997          155.8            0.0        102.697          0.250
     01/09/1997          169.3            0.0        100.583          0.265
     02/09/1997          183.2            0.0         99.636          0.280
     03/09/1997          192.3            0.0         99.051          0.289
     04/09/1997          202.6            0.0        100.386          0.300
